HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
0.56161606,282.51392,3285.98,-37.467503,953.8697,RMM2018-10-10.0087.fcs
2.8883114,4006.856,8576.153,-1.380008,12.917609,RMM2018-10-10.0087.fcs
5.054545,2551.1038,4618.1016,-24.924314,14.510216,RMM2018-10-10.0087.fcs
9.627704,1801.2058,5604.239,6.0263968,-15.191068,RMM2018-10-10.0087.fcs
11.633475,5703.062,3934.0781,7.5876985,-52.97962,RMM2018-10-10.0087.fcs
15.404326,2010.285,5074.394,-9.665862,-65.7655,RMM2018-10-10.0087.fcs
22.94603,-1435.4882,1789.8044,15.890713,-59.731194,RMM2018-10-10.0087.fcs
33.777195,2156.6357,1420.2524,9.638847,723.86066,RMM2018-10-10.0087.fcs
41.078205,3256.0337,6529.86,-7.1627703,18.081627,RMM2018-10-10.0087.fcs
48.218754,735.01953,9041.668,-29.5276,30995.965,RMM2018-10-10.0087.fcs
70.92409,1595.7644,2919.308,13.46774,53.911346,RMM2018-10-10.0087.fcs
90.33996,39.031998,4389.778,-42.09256,93.381134,RMM2018-10-10.0087.fcs
102.053665,-457.38107,1532.0543,-11.063068,906.2367,RMM2018-10-10.0087.fcs
112.08253,2324.9402,8852.301,7.596518,48412.527,RMM2018-10-10.0087.fcs
125.32062,-60.652878,5787.4526,21.56535,15.072886,RMM2018-10-10.0087.fcs
142.89119,3249.9993,10270.802,-22.966093,-46.712162,RMM2018-10-10.0087.fcs
143.61325,3633.8215,10340.247,-11.565006,31.505812,RMM2018-10-10.0087.fcs
148.82826,-1860.3475,2966.5815,-36.898594,7.885643,RMM2018-10-10.0087.fcs
152.19795,350.21796,4822.758,7.521861,42.518623,RMM2018-10-10.0087.fcs
164.7942,586.6037,1717.4763,-34.835007,8903.004,RMM2018-10-10.0087.fcs
165.8372,682.2457,5475.857,15.276102,172.62427,RMM2018-10-10.0087.fcs
169.04645,6862.918,12507.158,-21.051289,42.755375,RMM2018-10-10.0087.fcs
182.92639,3550.4368,6384.8994,-36.179947,121.80536,RMM2018-10-10.0087.fcs
187.4193,1260.2217,6665.3813,11.312409,6.7484703,RMM2018-10-10.0087.fcs
188.86346,-837.66925,4485.109,-23.862526,34.95299,RMM2018-10-10.0087.fcs
194.96101,2410.666,12563.064,-33.498672,21.766542,RMM2018-10-10.0087.fcs
201.7004,2433.4685,1598.2616,9.361884,30427.248,RMM2018-10-10.0087.fcs
203.46548,-1223.8187,3896.08,45.490948,-10.893476,RMM2018-10-10.0087.fcs
205.63171,1795.736,10425.072,-11.152948,971.5972,RMM2018-10-10.0087.fcs
206.27356,1529.8041,9715.878,24.310303,928.10767,RMM2018-10-10.0087.fcs
208.52002,4204.4927,4657.7666,17.786188,48.646225,RMM2018-10-10.0087.fcs
212.53157,2537.103,6166.18,2.2591882,-56.83446,RMM2018-10-10.0087.fcs
213.57458,2514.4465,5992.6724,-9.207294,-17.130562,RMM2018-10-10.0087.fcs
229.21959,-593.7447,2553.3953,44.66862,13.325821,RMM2018-10-10.0087.fcs
256.49808,759.1874,3722.055,-37.99006,-36.276955,RMM2018-10-10.0087.fcs
259.7073,-1668.1863,3368.432,-45.99551,7.9969983,RMM2018-10-10.0087.fcs
262.35495,2397.9868,8132.88,11.380773,7834.8213,RMM2018-10-10.0087.fcs
267.89087,2596.2783,2796.184,-9.289948,7181.921,RMM2018-10-10.0087.fcs
270.69894,968.0694,4109.657,-15.579255,10.240885,RMM2018-10-10.0087.fcs
306.72263,-2012.117,1797.0764,46.65701,3242.7031,RMM2018-10-10.0087.fcs
310.0121,-1237.1147,5042.7925,10.024643,-60.92608,RMM2018-10-10.0087.fcs
313.2213,1586.1973,3107.5042,-7.7901525,1197.3552,RMM2018-10-10.0087.fcs
314.82593,6002.2603,6732.2495,8.728889,33.771156,RMM2018-10-10.0087.fcs
328.94656,-192.19518,3868.8513,30.05642,81.729416,RMM2018-10-10.0087.fcs
336.8092,2906.3062,2174.3967,6.4735193,662.9536,RMM2018-10-10.0087.fcs
340.09866,-1114.8811,4355.8115,29.83398,-57.607845,RMM2018-10-10.0087.fcs
347.88104,935.1416,1168.1194,41.963753,-46.773422,RMM2018-10-10.0087.fcs
358.71222,4368.741,1678.2693,-6.2253532,587.82025,RMM2018-10-10.0087.fcs
359.675,5184.3174,2745.0022,-0.80744433,25.161499,RMM2018-10-10.0087.fcs
365.53183,68.84941,4013.0728,25.711456,10438.643,RMM2018-10-10.0087.fcs
371.9503,-3289.8545,3696.2078,2.7240133,-55.456997,RMM2018-10-10.0087.fcs
382.13965,452.63593,7698.7393,-9.699126,-95.87114,RMM2018-10-10.0087.fcs
386.15115,2198.791,2111.8445,-21.73186,37.401062,RMM2018-10-10.0087.fcs
389.0395,-1426.1603,5357.148,-1.6251345,-66.2389,RMM2018-10-10.0087.fcs
394.49518,507.48837,3008.6333,-23.514889,77.86156,RMM2018-10-10.0087.fcs
402.43805,-443.83148,9281.001,-9.862232,-23.728266,RMM2018-10-10.0087.fcs
403.4008,2169.693,15322.967,-7.1930237,49.020363,RMM2018-10-10.0087.fcs
411.98553,994.4732,4612.2554,32.170444,150.92162,RMM2018-10-10.0087.fcs
417.28073,2695.8813,6518.1006,-6.3158164,48.29296,RMM2018-10-10.0087.fcs
419.60742,5674.327,8962.458,11.114739,945.24585,RMM2018-10-10.0087.fcs
427.87122,1192.8098,1427.5364,54.28571,-15.957166,RMM2018-10-10.0087.fcs
432.84555,1825.316,7782.8257,6.322863,-34.25407,RMM2018-10-10.0087.fcs
443.35577,501.98837,4160.9185,19.182465,-27.024683,RMM2018-10-10.0087.fcs
445.76273,712.5518,2622.298,-15.006123,791.67236,RMM2018-10-10.0087.fcs
