HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
88.977646,-2040.391,4208.0205,3.7619505,-49.692726,RMM2018-10-10.0081.fcs
160.72722,1132.9755,2030.0402,28.60505,135.66895,RMM2018-10-10.0081.fcs
273.87042,2381.5007,3079.4934,-2.435521,28.565712,RMM2018-10-10.0081.fcs
376.50067,882.9134,3432.196,-7.0920663,62.582676,RMM2018-10-10.0081.fcs
393.59537,2236.9766,1998.1678,-22.39736,0.43126345,RMM2018-10-10.0081.fcs
483.24005,1094.8037,2124.6138,-22.784325,48.552532,RMM2018-10-10.0081.fcs
496.29675,-1323.9812,3133.5098,6.520382,90.1941,RMM2018-10-10.0081.fcs
508.38397,2847.229,1577.674,-18.472145,62.315296,RMM2018-10-10.0081.fcs
514.521,-2833.7441,5128.058,13.451958,55.56295,RMM2018-10-10.0081.fcs
543.187,2456.3494,4294.6587,-22.031336,126.34815,RMM2018-10-10.0081.fcs
571.1237,-170.54294,7651.325,2.2233436,89.5186,RMM2018-10-10.0081.fcs
609.32434,-790.24225,4200.4976,-8.35937,66.20718,RMM2018-10-10.0081.fcs
630.5459,686.7363,1989.3265,-5.4408703,45.103306,RMM2018-10-10.0081.fcs
633.7122,2578.876,3222.6062,0.10025358,68.181145,RMM2018-10-10.0081.fcs
825.13336,4059.4814,4649.8945,71.2281,102.21696,RMM2018-10-10.0081.fcs
851.00665,1789.1648,5565.022,-10.784664,64.79477,RMM2018-10-10.0081.fcs
857.04584,2341.6528,3887.8376,32.475548,38.06504,RMM2018-10-10.0081.fcs
929.7204,-1508.9601,1372.6882,48.371414,41.61883,RMM2018-10-10.0081.fcs
951.89355,1445.6096,3080.8135,57.184612,111.85907,RMM2018-10-10.0081.fcs
1075.8434,570.67413,1574.1102,18.575876,49.915577,RMM2018-10-10.0081.fcs
1081.6245,337.41757,2167.1934,34.953796,-7.286079,RMM2018-10-10.0081.fcs
1085.0933,-2200.0654,1385.5128,11.744867,57.747906,RMM2018-10-10.0081.fcs
1277.8751,16341.875,44978.48,-9.943022,92.75733,RMM2018-10-10.0081.fcs
1386.3312,5749.547,3949.8594,15.060541,126.6887,RMM2018-10-10.0081.fcs
1387.7009,793.70526,1539.0769,-16.36626,33.078926,RMM2018-10-10.0081.fcs
1479.0266,1780.0427,1254.0122,-14.758013,-50.385002,RMM2018-10-10.0081.fcs
1596.7236,-759.0031,8085.3413,-5.630645,68.31483,RMM2018-10-10.0081.fcs
1630.7974,4.631558,1365.1537,23.002153,61.258068,RMM2018-10-10.0081.fcs
1677.3319,-549.6578,2467.787,-24.27141,28.004961,RMM2018-10-10.0081.fcs
1727.3083,4332.47,4052.4504,33.680634,33.241093,RMM2018-10-10.0081.fcs
1829.7163,2640.5847,1997.5299,25.282454,17.724134,RMM2018-10-10.0081.fcs
1872.6931,-214.02594,4586.3423,-23.977737,24.687414,RMM2018-10-10.0081.fcs
1954.3597,1535.2471,1445.2509,0.16303658,128.10956,RMM2018-10-10.0081.fcs
2020.2302,2969.792,1381.167,44.66862,-25.092535,RMM2018-10-10.0081.fcs
2212.016,493.07,2672.578,-4.25687,80.85218,RMM2018-10-10.0081.fcs
2225.9531,-54.615303,1321.9518,8.352406,76.40041,RMM2018-10-10.0081.fcs
2239.0898,2868.3774,6185.725,28.247368,-50.311768,RMM2018-10-10.0081.fcs
2245.823,1082.0328,2745.5842,15.072911,74.524925,RMM2018-10-10.0081.fcs
2263.5757,782.5368,1684.6156,33.146465,97.38496,RMM2018-10-10.0081.fcs
2271.1536,-203.64319,5359.6763,31.66448,16.498247,RMM2018-10-10.0081.fcs
2374.1753,2258.9556,5224.5767,45.631897,59.951187,RMM2018-10-10.0081.fcs
2380.2144,1395.9795,3501.058,1.5801783,34.497234,RMM2018-10-10.0081.fcs
2385.9778,-394.86465,5484.1216,1.2326252,27.211926,RMM2018-10-10.0081.fcs
2386.031,571.48676,5384.9707,16.937956,48.93326,RMM2018-10-10.0081.fcs
2425.8416,9.937012,2721.624,8.347586,-1.4028089,RMM2018-10-10.0081.fcs
2493.633,2544.233,1299.2096,29.83398,38.90656,RMM2018-10-10.0081.fcs
2510.7458,-68.42083,1930.8643,28.845291,89.096375,RMM2018-10-10.0081.fcs
2534.4487,793.9602,6593.945,-2.4772213,82.759445,RMM2018-10-10.0081.fcs
2591.9766,-2372.8542,2837.7686,14.185084,29.846664,RMM2018-10-10.0081.fcs
2690.1953,2899.6262,2069.6663,5.0967283,1.0312276,RMM2018-10-10.0081.fcs
2754.0823,1744.8242,43160.293,-17.890715,106.64973,RMM2018-10-10.0081.fcs
2904.3142,1243.4918,1355.0255,37.152527,14.69876,RMM2018-10-10.0081.fcs
2915.9124,-501.7383,3005.7742,19.497595,59.88986,RMM2018-10-10.0081.fcs
2918.883,1682.9154,1365.387,0.24893165,-2.5206504,RMM2018-10-10.0081.fcs
2934.0654,-1529.6215,4116.2065,12.092367,-21.463945,RMM2018-10-10.0081.fcs
2938.726,219.5879,11784.754,3.25623,98.08603,RMM2018-10-10.0081.fcs
2991.9756,2971.7935,1201.8787,-33.42995,82.753555,RMM2018-10-10.0081.fcs
3216.2163,-484.16495,854.75287,45.28891,0.059298277,RMM2018-10-10.0081.fcs
3324.7168,478.8612,14049.973,7.7396793,30.489334,RMM2018-10-10.0081.fcs
3344.8887,1517.6484,2341.3823,60.777493,-3.9686415,RMM2018-10-10.0081.fcs
3412.716,2097.9836,2499.5022,85.2078,3.7205286,RMM2018-10-10.0081.fcs
3673.3696,-1703.5504,8430.315,70.04111,30.401209,RMM2018-10-10.0081.fcs
3725.73,-3385.7617,1158.6643,39.79719,101.34885,RMM2018-10-10.0081.fcs
3768.022,2767.4653,7657.914,24.349266,86.086464,RMM2018-10-10.0081.fcs
3771.3396,2062.9106,2689.6763,3.0235627,81.04198,RMM2018-10-10.0081.fcs
3779.3533,2924.7134,2844.6016,42.687622,43.567467,RMM2018-10-10.0081.fcs
3939.1465,1202.1423,3914.7747,-11.510913,15.726195,RMM2018-10-10.0081.fcs
3999.5916,3056.3396,1488.1849,-8.624336,-7.7795773,RMM2018-10-10.0081.fcs
4054.3174,-644.9119,4251.482,-7.6449146,60.714867,RMM2018-10-10.0081.fcs
4110.6626,3480.2354,1784.3828,20.480963,11.375202,RMM2018-10-10.0081.fcs
4166.1,-1964.4088,1858.5508,19.394909,41.438095,RMM2018-10-10.0081.fcs
4313.201,4195.014,1772.5562,1.5171984,89.702835,RMM2018-10-10.0081.fcs
4420.6167,240962.86,262143.97,25.925129,242.4921,RMM2018-10-10.0081.fcs
4443.955,371.38644,1659.5717,1.3592594,-15.371516,RMM2018-10-10.0081.fcs
4502.1943,4149.3247,6858.915,11.074052,117.96719,RMM2018-10-10.0081.fcs
4505.0493,388.36816,2796.931,41.174908,27.29952,RMM2018-10-10.0081.fcs
4778.2437,3638.552,5257.0186,-24.274195,5.6214876,RMM2018-10-10.0081.fcs
4857.971,490.24228,5014.7686,36.984997,37.042618,RMM2018-10-10.0081.fcs
4932.7983,-2289.1401,2872.7253,5.165447,112.41225,RMM2018-10-10.0081.fcs
5072.6777,945.49524,2873.916,2.0072038,240.0002,RMM2018-10-10.0081.fcs
5084.4536,-604.3243,1416.9554,50.602734,122.6676,RMM2018-10-10.0081.fcs
5143.2617,1901.2584,8458.578,11.762182,51.321056,RMM2018-10-10.0081.fcs
5148.465,994.64215,1196.532,3.3359466,-10.408253,RMM2018-10-10.0081.fcs
5275.972,0.7665404,10365.91,-29.1839,84.60128,RMM2018-10-10.0081.fcs
5436.5215,1834.4022,17131.018,5.5421076,106.92561,RMM2018-10-10.0081.fcs
5737.413,-1098.8605,1534.8134,21.299904,-10.989195,RMM2018-10-10.0081.fcs
5800.8643,-1747.1406,1465.4202,43.326054,2.0502996,RMM2018-10-10.0081.fcs
5924.102,859.01807,1772.5627,30.215805,-78.90328,RMM2018-10-10.0081.fcs
5952.9907,-2969.0886,862.37555,42.21247,-59.979145,RMM2018-10-10.0081.fcs
5954.725,-115.352135,2510.986,-2.4027817,-25.478268,RMM2018-10-10.0081.fcs
6006.16,-3.0816686,8862.556,5.0769315,41.22933,RMM2018-10-10.0081.fcs
6026.457,1168.3243,3472.815,54.64469,28.52554,RMM2018-10-10.0081.fcs
6099.496,962.44385,1305.9081,-30.36458,122.64676,RMM2018-10-10.0081.fcs
6103.6675,2012.6,1453.5342,10.98214,70.55061,RMM2018-10-10.0081.fcs
6123.466,2439.6558,35561.07,26.915432,21.61649,RMM2018-10-10.0081.fcs
6238.4146,1592.5033,11592.221,61.476254,-2.2248373,RMM2018-10-10.0081.fcs
6308.972,1562.8827,851.9998,-3.1260746,-13.350889,RMM2018-10-10.0081.fcs
6329.082,-275.37137,2623.0876,1.0623674,28.48467,RMM2018-10-10.0081.fcs
6405.35,-2512.273,2337.2043,9.813261,159.88763,RMM2018-10-10.0081.fcs
6640.7085,1161.1183,3816.853,15.705997,30.9706,RMM2018-10-10.0081.fcs
6702.043,1732.4261,1363.9603,24.518145,49.869053,RMM2018-10-10.0081.fcs
6722.722,-1159.7866,967.0826,-9.77007,-18.164953,RMM2018-10-10.0081.fcs
6826.3755,1158.992,3862.6223,12.164476,11.243491,RMM2018-10-10.0081.fcs
7060.711,-744.9161,1492.4624,19.33766,16.991156,RMM2018-10-10.0081.fcs
7149.3237,940.11365,2683.7903,-6.2257833,0.16280556,RMM2018-10-10.0081.fcs
7243.4688,801.87103,2519.1245,-26.749031,-29.799599,RMM2018-10-10.0081.fcs
7280.335,2030.0222,8263.877,0.8953569,-3.4894307,RMM2018-10-10.0081.fcs
7382.2363,-69.90256,1305.9487,-11.13348,-31.645931,RMM2018-10-10.0081.fcs
7389.841,-759.0539,1798.5774,24.053839,89.94195,RMM2018-10-10.0081.fcs
7648.894,3136.7104,3040.8528,-14.653418,91.51839,RMM2018-10-10.0081.fcs
7848.302,-257.39694,2340.9048,2.7033434,-52.927708,RMM2018-10-10.0081.fcs
8167.693,1168.1912,5666.578,-16.605165,68.96639,RMM2018-10-10.0081.fcs
8183.791,1878.1694,6170.2607,51.88251,38.30799,RMM2018-10-10.0081.fcs
