HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
90.16136,417.4467,1559.9651,18.754478,-63.748222,RMM2018-10-10.0024.fcs
167.18277,1036.461,1158.5995,19.234718,-6.7600846,RMM2018-10-10.0024.fcs
196.91112,137.30664,3028.8936,3.1866775,60.424835,RMM2018-10-10.0024.fcs
220.41434,-2666.5679,2326.497,26.641125,90.693665,RMM2018-10-10.0024.fcs
227.51726,1325.2434,2016.9084,18.832096,-31.42786,RMM2018-10-10.0024.fcs
361.7024,-1754.7139,2341.0684,7.200733,127.26331,RMM2018-10-10.0024.fcs
391.5382,1690.4542,1460.9059,64.61643,103.31256,RMM2018-10-10.0024.fcs
392.3533,2154.7617,1022.01337,39.623905,66.06343,RMM2018-10-10.0024.fcs
461.8239,3673.9504,2276.6665,49.05921,11.522396,RMM2018-10-10.0024.fcs
507.5585,-1185.8982,4149.4185,32.31658,-43.25483,RMM2018-10-10.0024.fcs
518.5308,1159.1069,1823.9165,-3.3988547,-38.854927,RMM2018-10-10.0024.fcs
592.2292,2036.7865,1221.6693,-8.35937,105.56256,RMM2018-10-10.0024.fcs
633.736,1686.5505,4835.0957,-20.4334,-46.725933,RMM2018-10-10.0024.fcs
653.60266,578.3105,1728.0386,50.70004,-113.603264,RMM2018-10-10.0024.fcs
717.6902,2090.775,1731.0365,55.29854,-2.7307417,RMM2018-10-10.0024.fcs
752.4255,24.731594,2726.749,-6.0994987,23.56532,RMM2018-10-10.0024.fcs
802.97,-1834.7035,1232.2859,-20.935337,-29.401339,RMM2018-10-10.0024.fcs
855.1535,-1138.832,2492.4429,21.197456,35.996635,RMM2018-10-10.0024.fcs
964.8144,1955.3556,2802.5146,3.7737286,125.914566,RMM2018-10-10.0024.fcs
1019.68506,-2064.2627,4466.7314,23.261042,35.860085,RMM2018-10-10.0024.fcs
1034.5089,236.218,6326.683,71.498085,102.34679,RMM2018-10-10.0024.fcs
1090.5082,1431.8746,1502.642,12.681901,66.181206,RMM2018-10-10.0024.fcs
1094.8613,379.51688,10719.614,16.293903,34.661285,RMM2018-10-10.0024.fcs
