HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
13.335898,305.93976,4003.7473,-5.6083803,869.5367,RMM2018-10-10.0011.fcs
17.32527,-1661.2571,3255.6794,7.9903226,1444.7041,RMM2018-10-10.0011.fcs
43.655125,-1119.2546,1574.6183,10.682941,2184.6787,RMM2018-10-10.0011.fcs
45.13689,-4597.793,3874.4756,32.26332,1463.4471,RMM2018-10-10.0011.fcs
53.91351,2184.5027,3143.2222,45.06902,824.0833,RMM2018-10-10.0011.fcs
66.56551,-130.83553,2688.7078,-19.036192,1257.3252,RMM2018-10-10.0011.fcs
78.19168,2259.2332,1323.162,49.6239,1806.8386,RMM2018-10-10.0011.fcs
79.55947,-256.22443,2552.1882,47.12017,1010.5928,RMM2018-10-10.0011.fcs
86.74033,125.406204,4086.0774,39.68888,1852.7924,RMM2018-10-10.0011.fcs
92.43944,-1422.9675,5158.603,24.820318,1964.807,RMM2018-10-10.0011.fcs
98.25252,1294.9768,1757.3872,20.964005,827.90063,RMM2018-10-10.0011.fcs
103.72366,1072.5795,1730.4783,-0.86310554,833.63727,RMM2018-10-10.0011.fcs
110.220634,3160.5037,1177.8558,0.1813283,831.27405,RMM2018-10-10.0011.fcs
117.28752,-1384.7738,4714.363,63.8185,1412.8236,RMM2018-10-10.0011.fcs
138.9441,-1671.4127,2196.742,32.809746,1694.2361,RMM2018-10-10.0011.fcs
140.42587,-2629.883,4459.323,14.515228,1478.7777,RMM2018-10-10.0011.fcs
153.41983,-175.21791,4043.385,-20.935337,1002.27203,RMM2018-10-10.0011.fcs
157.75116,2151.091,11071.917,-5.0394697,5542.003,RMM2018-10-10.0011.fcs
158.89096,3124.7727,9176.214,1.8996625,3785.0286,RMM2018-10-10.0011.fcs
166.2998,-1117.8594,4009.4592,-6.724016,955.08954,RMM2018-10-10.0011.fcs
173.82262,-1547.893,2659.1357,39.63896,1184.62,RMM2018-10-10.0011.fcs
178.9518,1977.2278,3367.3376,16.430033,831.7372,RMM2018-10-10.0011.fcs
182.14331,-1518.9121,3866.1543,-34.30588,1504.8662,RMM2018-10-10.0011.fcs
185.56276,-1159.1976,1245.5819,31.927135,1104.9512,RMM2018-10-10.0011.fcs
189.09622,2666.8345,1443.4995,-1.3737316,964.4898,RMM2018-10-10.0011.fcs
195.93513,-319.84836,3185.2373,2.108582,1262.3983,RMM2018-10-10.0011.fcs
202.20413,-501.31903,2231.696,11.23595,848.86334,RMM2018-10-10.0011.fcs
205.16766,1870.2644,3078.9873,26.750286,1113.5461,RMM2018-10-10.0011.fcs
216.79384,-3609.0708,6032.2607,-16.775146,3282.3208,RMM2018-10-10.0011.fcs
217.81969,-2087.1436,5825.317,37.42877,2389.8792,RMM2018-10-10.0011.fcs
243.0097,-29.022585,2570.0571,25.282454,2082.008,RMM2018-10-10.0011.fcs
268.19974,-965.5264,4162.8037,-5.2370763,1346.8411,RMM2018-10-10.0011.fcs
276.7484,1442.4807,4028.651,43.266556,1800.7136,RMM2018-10-10.0011.fcs
278.0022,1422.7505,7124.2427,40.92049,2723.2253,RMM2018-10-10.0011.fcs
279.14203,2687.6013,5614.862,3.2393947,1715.9749,RMM2018-10-10.0011.fcs
286.09494,1403.4081,4129.3027,13.974604,1265.4954,RMM2018-10-10.0011.fcs
288.37457,6239.8223,6764.8115,48.862095,4290.9624,RMM2018-10-10.0011.fcs
289.74237,4438.4854,7756.837,13.198845,3534.988,RMM2018-10-10.0011.fcs
302.0524,2984.5645,8667.386,81.872185,3503.5,RMM2018-10-10.0011.fcs
304.21808,-1738.5033,1281.7083,41.034813,1194.3488,RMM2018-10-10.0011.fcs
312.53876,1373.4594,1334.0156,25.017172,975.4325,RMM2018-10-10.0011.fcs
319.9476,1125.177,6355.2607,54.05403,2316.1729,RMM2018-10-10.0011.fcs
323.70898,2001.1289,3563.2039,34.965816,1208.8107,RMM2018-10-10.0011.fcs
325.41873,3299.19,5379.3486,71.28587,1907.0698,RMM2018-10-10.0011.fcs
338.86862,753.0042,3476.8726,-1.0227453,1137.0924,RMM2018-10-10.0011.fcs
345.02365,796.6664,3842.3174,31.708048,1284.2235,RMM2018-10-10.0011.fcs
348.67108,-2190.8008,1593.5323,34.46749,1667.9971,RMM2018-10-10.0011.fcs
356.99176,2266.039,4255.1104,16.26344,992.6185,RMM2018-10-10.0011.fcs
367.93405,-627.16156,6279.491,49.79234,-38.55675,RMM2018-10-10.0011.fcs
373.7471,-216.00864,4498.456,46.326183,1180.7559,RMM2018-10-10.0011.fcs
390.95844,-716.76166,2187.5847,38.33127,673.55475,RMM2018-10-10.0011.fcs
396.8855,-1618.2072,3834.415,35.27846,1579.544,RMM2018-10-10.0011.fcs
413.75482,-649.78955,2644.0793,23.245728,923.83435,RMM2018-10-10.0011.fcs
421.96152,-2490.63,2939.6025,50.848717,1440.5103,RMM2018-10-10.0011.fcs
435.52536,2270.9846,8360.966,8.344234,1951.9277,RMM2018-10-10.0011.fcs
446.23972,1891.2549,3439.5374,12.62656,920.801,RMM2018-10-10.0011.fcs
454.33243,329.3601,1677.8915,-22.185553,1180.9563,RMM2018-10-10.0011.fcs
460.4875,-1662.9525,1074.0187,37.792645,-133.93643,RMM2018-10-10.0011.fcs
462.99506,1406.5239,2717.4946,19.921108,599.2684,RMM2018-10-10.0011.fcs
469.94794,-976.7336,4832.016,57.966393,2581.3057,RMM2018-10-10.0011.fcs
474.05133,2373.4714,3893.8074,26.174717,1050.3865,RMM2018-10-10.0011.fcs
479.63644,1375.5402,4789.942,49.426384,1030.2155,RMM2018-10-10.0011.fcs
481.91608,912.4088,7581.089,47.293457,2454.2388,RMM2018-10-10.0011.fcs
485.79147,2687.8176,1108.0527,14.978935,609.88794,RMM2018-10-10.0011.fcs
492.85837,64.21908,2524.7583,8.645761,730.4059,RMM2018-10-10.0011.fcs
499.0134,4743.4946,4426.3135,16.450699,2218.4211,RMM2018-10-10.0011.fcs
503.45868,684.9001,1178.6381,10.9778805,1324.7614,RMM2018-10-10.0011.fcs
513.14716,-1443.2931,1962.3237,13.864457,1061.3751,RMM2018-10-10.0011.fcs
532.5241,-791.08905,2880.6025,29.836407,801.908,RMM2018-10-10.0011.fcs
536.8554,4128.662,9628.286,48.591953,3331.2832,RMM2018-10-10.0011.fcs
537.7673,3066.5217,9700.58,43.75777,2868.4668,RMM2018-10-10.0011.fcs
539.70496,1721.247,7703.0386,33.376324,3297.167,RMM2018-10-10.0011.fcs
541.18677,1932.2876,2450.2378,52.162056,1296.6543,RMM2018-10-10.0011.fcs
543.8083,-692.14606,2101.8513,-0.51480675,-123.13032,RMM2018-10-10.0011.fcs
548.13965,1307.3032,1006.20667,-2.0444112,1202.1144,RMM2018-10-10.0011.fcs
553.4968,2863.0725,4194.9844,84.27843,2470.1448,RMM2018-10-10.0011.fcs
557.8281,3247.8093,1550.1157,-14.903864,1277.1753,RMM2018-10-10.0011.fcs
561.7035,1907.9733,2949.5479,65.095985,1111.8196,RMM2018-10-10.0011.fcs
567.8585,-22.457233,4891.0947,29.528307,1524.5211,RMM2018-10-10.0011.fcs
571.8479,-1010.0927,3616.0461,71.34765,-4.565437,RMM2018-10-10.0011.fcs
578.6868,2224.5786,8109.2456,28.113941,3041.5256,RMM2018-10-10.0011.fcs
