HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
42.269665,4125.2866,1758.6161,-14.97871,-87.17405,RMM2018-10-10.0091.fcs
50.966724,478.92642,2262.4243,56.71604,116.928276,RMM2018-10-10.0091.fcs
236.86743,675.16364,5386.4688,72.52712,486.77487,RMM2018-10-10.0091.fcs
265.11276,2196.6338,4871.479,71.61871,9.171792,RMM2018-10-10.0091.fcs
364.22168,688.061,1291.6449,46.94309,5.116429,RMM2018-10-10.0091.fcs
431.69763,4755.792,1177.2733,7.200733,80.41166,RMM2018-10-10.0091.fcs
440.74326,1446.8256,1565.8535,17.764778,-39.116467,RMM2018-10-10.0091.fcs
483.98724,1198.9879,8238.1045,41.49797,36.07837,RMM2018-10-10.0091.fcs
513.57336,1331.3678,3735.6272,37.814816,53.688885,RMM2018-10-10.0091.fcs
527.20435,-228.25043,1181.8348,45.435043,15.778253,RMM2018-10-10.0091.fcs
590.16644,-1273.4309,1358.211,34.082466,19.241123,RMM2018-10-10.0091.fcs
592.72284,-1821.9156,6544.954,38.492283,169.2808,RMM2018-10-10.0091.fcs
692.49316,-24.471786,4337.5312,13.299791,0.1257205,RMM2018-10-10.0091.fcs
738.7673,-862.8464,1515.332,20.714981,10.085098,RMM2018-10-10.0091.fcs
912.04694,2620.1987,2326.0525,96.52799,19.75805,RMM2018-10-10.0091.fcs
947.1391,-131.75293,3576.638,57.618748,4716.227,RMM2018-10-10.0091.fcs
1060.2455,1527.3711,5388.9644,9.049722,7.1429515,RMM2018-10-10.0091.fcs
1113.277,3209.9382,1748.4385,21.197456,110.95928,RMM2018-10-10.0091.fcs
1182.7194,879.6416,2639.471,19.70329,24.714994,RMM2018-10-10.0091.fcs
1260.8141,2731.4724,1175.8712,7.3314795,9.6231575,RMM2018-10-10.0091.fcs
1425.7365,-556.51196,3623.3428,60.25369,104.220856,RMM2018-10-10.0091.fcs
1598.4708,1687.6846,4300.6226,9.870802,26.825813,RMM2018-10-10.0091.fcs
1626.171,2468.1636,10246.412,9.734673,98.37953,RMM2018-10-10.0091.fcs
1642.7697,-852.78784,1731.9021,38.486366,189.46991,RMM2018-10-10.0091.fcs
1689.3029,4206.38,3659.5828,16.429897,-46.568886,RMM2018-10-10.0091.fcs
1748.1802,-73.40866,1832.1615,-19.443178,107.03655,RMM2018-10-10.0091.fcs
1790.146,-114.32438,1214.078,-5.630645,40.203835,RMM2018-10-10.0091.fcs
1798.2798,-656.91376,3924.191,21.128088,8.784218,RMM2018-10-10.0091.fcs
1820.733,1092.0242,1440.799,-22.397345,41.123425,RMM2018-10-10.0091.fcs
1947.5153,-232.75507,3492.1047,36.491734,20.12263,RMM2018-10-10.0091.fcs
1979.7382,1246.2794,5448.6226,29.967619,79.56831,RMM2018-10-10.0091.fcs
2012.6224,-1202.5958,2970.8975,2.2591882,3591.0352,RMM2018-10-10.0091.fcs
2019.3441,858.70917,3691.319,39.518425,-31.186058,RMM2018-10-10.0091.fcs
2084.076,2282.0098,7984.439,48.41675,152.94374,RMM2018-10-10.0091.fcs
2108.9248,23.616438,1173.325,29.47632,60.23745,RMM2018-10-10.0091.fcs
2160.4277,-927.9301,1516.8546,8.352406,-18.239927,RMM2018-10-10.0091.fcs
2209.732,4451.9634,5479.202,60.10649,8.721314,RMM2018-10-10.0091.fcs
2289.7395,4094.5942,18577.695,33.813572,49.22503,RMM2018-10-10.0091.fcs
2361.5596,2680.0288,3598.037,32.20943,26.170446,RMM2018-10-10.0091.fcs
2415.7263,4184.4824,7539.215,-15.187172,5426.9272,RMM2018-10-10.0091.fcs
2543.867,819.6728,1159.7274,28.765305,9.351402,RMM2018-10-10.0091.fcs
2608.3933,-662.6821,2663.3506,-7.7901525,34.497234,RMM2018-10-10.0091.fcs
2616.0803,1223.3915,2243.8613,30.28065,19.71566,RMM2018-10-10.0091.fcs
2625.242,285.69168,1813.0007,23.497187,63.92579,RMM2018-10-10.0091.fcs
2627.548,-821.2113,66769.71,1.7883539,17.337852,RMM2018-10-10.0091.fcs
2708.1814,1958.5874,2576.3857,47.637608,93.25448,RMM2018-10-10.0091.fcs
2764.6455,433.8289,2851.9678,22.28606,3166.313,RMM2018-10-10.0091.fcs
2790.3164,1455.5056,4598.0645,-10.910519,60.270653,RMM2018-10-10.0091.fcs
2824.9438,970.4798,1401.2969,15.122118,127.2981,RMM2018-10-10.0091.fcs
2827.0354,-732.31384,3252.202,22.900356,14.149691,RMM2018-10-10.0091.fcs
2854.8337,-46.78303,1960.8226,7.4091787,77.6017,RMM2018-10-10.0091.fcs
