HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
5.2034783,-57.629078,3172.5989,-31.845306,-102.16658,RMM2018-10-10.0018.fcs
9.106087,-1835.5452,2774.9814,26.730984,238.74257,RMM2018-10-10.0018.fcs
10.569566,-1390.9943,1491.2223,-19.302116,99.78023,RMM2018-10-10.0018.fcs
17.399132,3322.0105,11660.283,9.7745285,1432.525,RMM2018-10-10.0018.fcs
17.886957,3858.0437,11761.115,20.706161,1357.2551,RMM2018-10-10.0018.fcs
20.082174,-657.4481,1434.0204,-20.91026,-83.56913,RMM2018-10-10.0018.fcs
24.147392,4594.32,8044.5,40.25357,197.9529,RMM2018-10-10.0018.fcs
24.960436,3542.5076,7558.756,9.638847,119.47431,RMM2018-10-10.0018.fcs
31.708696,-766.6493,3033.7893,9.703825,32.137123,RMM2018-10-10.0018.fcs
33.497395,1039.5553,5142.674,11.701855,697.0013,RMM2018-10-10.0018.fcs
42.60348,5088.0864,2626.0168,15.341806,118.56663,RMM2018-10-10.0018.fcs
54.473915,-1706.6606,1425.9425,-45.84069,143.04388,RMM2018-10-10.0018.fcs
56.669132,-143.47499,2696.7864,-42.92219,854.6999,RMM2018-10-10.0018.fcs
57.644787,4692.8228,1694.3053,-18.640408,40.070156,RMM2018-10-10.0018.fcs
63.254784,2464.6511,5119.348,21.56535,936.1764,RMM2018-10-10.0018.fcs
70.49087,-1005.06775,5279.227,-9.847631,-70.137985,RMM2018-10-10.0018.fcs
72.03565,-887.36304,1776.7021,-7.8168736,-14.408809,RMM2018-10-10.0018.fcs
78.62131,-427.624,2444.654,-18.157932,113.77038,RMM2018-10-10.0018.fcs
98.54087,950.85614,2957.1252,-9.344734,-46.499516,RMM2018-10-10.0018.fcs
103.09392,-353.24045,3689.931,-4.84995,-29.732231,RMM2018-10-10.0018.fcs
153.58392,-335.37216,3911.949,26.520498,109.843056,RMM2018-10-10.0018.fcs
161.71436,963.35803,2828.5437,-9.806892,-55.633095,RMM2018-10-10.0018.fcs
163.01521,-270.78406,2562.7415,-0.5726912,-53.419823,RMM2018-10-10.0018.fcs
167.32436,4442.3857,14443.692,16.934608,2869.3845,RMM2018-10-10.0018.fcs
167.9748,6649.225,16028.419,-12.618128,3264.906,RMM2018-10-10.0018.fcs
168.95044,4256.621,6117.214,-12.883947,837.92236,RMM2018-10-10.0018.fcs
171.8774,2107.381,1722.887,-1.8825123,124.53681,RMM2018-10-10.0018.fcs
174.80437,-11.298004,7229.1064,8.0096245,-81.17095,RMM2018-10-10.0018.fcs
181.55261,1053.6057,3553.8086,-35.51581,29.879026,RMM2018-10-10.0018.fcs
182.36565,4365.266,3824.7515,35.5547,-9.862428,RMM2018-10-10.0018.fcs
183.26,3006.9646,3022.644,21.53432,163.90129,RMM2018-10-10.0018.fcs
192.77261,627.42975,2906.2422,-18.35554,65.91687,RMM2018-10-10.0018.fcs
199.84608,-1100.627,2086.1814,-22.325756,64.39131,RMM2018-10-10.0018.fcs
207.24478,-1763.1619,6688.5225,10.9354315,1039.3771,RMM2018-10-10.0018.fcs
222.20479,-374.62262,4560.6997,-17.375332,965.4114,RMM2018-10-10.0018.fcs
229.92871,3168.7783,4639.986,-19.758587,82.02261,RMM2018-10-10.0018.fcs
236.43306,-111.38763,6585.8384,50.73616,-89.66716,RMM2018-10-10.0018.fcs
243.42523,-507.17523,10105.979,-1.7936839,143.86537,RMM2018-10-10.0018.fcs
248.4661,1284.7865,3782.6326,51.887123,734.56744,RMM2018-10-10.0018.fcs
267.81653,-861.44037,2401.4626,27.916348,162.6754,RMM2018-10-10.0018.fcs
277.41046,-1089.0636,2935.405,28.765305,14.9736,RMM2018-10-10.0018.fcs
281.63828,-1640.9446,5413.5425,-11.538284,2839.974,RMM2018-10-10.0018.fcs
293.99652,1480.1385,1465.1869,-10.011771,38.45632,RMM2018-10-10.0018.fcs
298.22437,1385.7684,1352.9175,9.441691,-114.11049,RMM2018-10-10.0018.fcs
320.01392,1826.8441,3524.6614,-32.88187,472.73593,RMM2018-10-10.0018.fcs
338.2261,-2379.8757,4351.1265,31.708048,33.28436,RMM2018-10-10.0018.fcs
346.68173,1002.608,5419.4385,15.726829,1316.6096,RMM2018-10-10.0018.fcs
