HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
6.0227447,-2174.3867,6400.6777,13.132281,-4.7151394,RMM2018-10-10.0031.fcs
16.433489,6932.273,15311.547,24.856918,96.31355,RMM2018-10-10.0031.fcs
36.050426,-679.7862,1602.7292,20.053272,-7.041545,RMM2018-10-10.0031.fcs
38.459526,144.53136,1856.1064,26.641125,6.3606925,RMM2018-10-10.0031.fcs
63.841095,2204.1804,5472.6865,22.580227,-65.16105,RMM2018-10-10.0031.fcs
68.57325,-2965.3606,3994.9316,10.948866,-62.9544,RMM2018-10-10.0031.fcs
81.39309,1087.0049,5309.301,42.12764,3.0500224,RMM2018-10-10.0031.fcs
88.4483,-1274.7794,1823.1766,37.74984,1.4081478,RMM2018-10-10.0031.fcs
96.44995,1996.6613,1670.4062,30.318552,862.3484,RMM2018-10-10.0031.fcs
101.35419,-588.0711,3050.2788,15.449987,16.715286,RMM2018-10-10.0031.fcs
112.71136,1014.8039,9362.348,5.9714756,24.863321,RMM2018-10-10.0031.fcs
119.852615,548.77795,5630.4097,-8.35937,94.31817,RMM2018-10-10.0031.fcs
121.22924,-624.173,3616.0159,-7.314936,-39.229668,RMM2018-10-10.0031.fcs
128.28445,3310.699,2675.379,39.455643,26.951693,RMM2018-10-10.0031.fcs
138.60916,2070.1604,7305.4463,36.557877,-27.093601,RMM2018-10-10.0031.fcs
140.76013,1672.0358,3158.7212,22.011494,10.446856,RMM2018-10-10.0031.fcs
144.80399,-74.955376,7354.86,-26.557535,51.183506,RMM2018-10-10.0031.fcs
148.15952,-887.7072,5084.2764,-5.0394697,-54.895573,RMM2018-10-10.0031.fcs
148.76178,256.51465,4950.1943,28.13659,-68.98831,RMM2018-10-10.0031.fcs
169.4112,9.391338,4712.234,-4.84995,28.36382,RMM2018-10-10.0031.fcs
173.36899,4174.568,5232.2285,47.135227,-41.956303,RMM2018-10-10.0031.fcs
177.84305,-2823.1926,1459.5385,1.437504,-18.151773,RMM2018-10-10.0031.fcs
184.38202,401.06863,6697.868,-0.5726912,66.52041,RMM2018-10-10.0031.fcs
191.09308,-1433.7483,2454.3545,30.05307,92.01848,RMM2018-10-10.0031.fcs
197.20186,-400.07483,1289.8262,0.5003345,24.645628,RMM2018-10-10.0031.fcs
205.46162,912.3501,1346.7784,-7.2617483,-52.25907,RMM2018-10-10.0031.fcs
209.50546,-1013.8761,2928.8486,16.858149,43.95197,RMM2018-10-10.0031.fcs
217.16296,2349.0884,13146.471,-10.731036,35.021145,RMM2018-10-10.0031.fcs
227.65974,4008.071,1515.7616,-3.6566834,-39.46142,RMM2018-10-10.0031.fcs
230.49904,-279.60672,3317.8167,41.1769,-24.854958,RMM2018-10-10.0031.fcs
255.0202,1439.3082,12155.905,6.541792,-27.253452,RMM2018-10-10.0031.fcs
260.6988,1426.719,7746.018,-38.97027,73.41313,RMM2018-10-10.0031.fcs
264.82867,3381.2021,10906.474,18.903698,86.88011,RMM2018-10-10.0031.fcs
271.36768,-1100.6796,3702.1978,24.053894,16.136919,RMM2018-10-10.0031.fcs
277.47644,2150.6814,4269.282,1.3653286,60.23745,RMM2018-10-10.0031.fcs
282.0365,2772.4133,7581.3325,12.100538,63.281948,RMM2018-10-10.0031.fcs
286.3385,2295.8503,3503.9365,37.6177,140.84297,RMM2018-10-10.0031.fcs
289.694,-2558.3406,2348.2822,7.576647,290.0425,RMM2018-10-10.0031.fcs
290.98462,3277.856,8946.622,14.405803,6534.8022,RMM2018-10-10.0031.fcs
294.6843,1294.6727,5282.8394,-0.1946435,48.357372,RMM2018-10-10.0031.fcs
303.80444,3257.8328,8730.954,34.3875,29.96613,RMM2018-10-10.0031.fcs
307.76224,-999.07697,5590.6416,-5.916086,38.24537,RMM2018-10-10.0031.fcs
