HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
4.117646,734.1639,4675.6,-9.356512,1076.621,RMM2018-10-10.0075.fcs,1
8.343652,1250.1046,4654.67,13.612521,1663.0328,RMM2018-10-10.0075.fcs,1
62.848286,410.467,6361.589,32.75731,2684.8386,RMM2018-10-10.0075.fcs,1
69.99999,815.9996,3819.0229999999997,28.444487,1308.3761,RMM2018-10-10.0075.fcs,1
135.01546000000002,1009.2727,4487.0923,-30.42162,885.1481,RMM2018-10-10.0075.fcs,1
160.91328000000001,1084.7642,4662.9385,-3.5136163000000002,1889.2734,RMM2018-10-10.0075.fcs,1
163.94734,1744.7491,4950.029,-9.378777000000001,2021.0917,RMM2018-10-10.0075.fcs,1
165.35602,1571.3508,4251.2153,15.505889000000002,1030.1503,RMM2018-10-10.0075.fcs,1
179.55104,1768.7476,3453.6865,1.8215103,1052.733,RMM2018-10-10.0075.fcs,1
195.91326999999998,2010.2703,6251.8647,42.794556,1781.5072,RMM2018-10-10.0075.fcs,1
244.24143999999998,2497.89,5698.1753,-9.289947999999999,1155.8611,RMM2018-10-10.0075.fcs,1
264.07117,1424.4044,3662.6924,33.146465,1570.4009,RMM2018-10-10.0075.fcs,1
266.23834,2104.2693,4215.5586,16.671951,2226.0222,RMM2018-10-10.0075.fcs,1
268.62225,1171.0916,5713.393,-9.664219000000001,1215.1589,RMM2018-10-10.0075.fcs,1
291.48602,247.27333,3568.0637,46.92301,1193.9877,RMM2018-10-10.0075.fcs,1
297.44577000000004,1526.4094,3644.6978,30.719358000000003,812.4859,RMM2018-10-10.0075.fcs,1
313.2662,1420.2557,4314.5327,16.05915,1521.6033,RMM2018-10-10.0075.fcs,1
339.38077000000004,1243.9542,4562.186,-4.865264,1771.8492,RMM2018-10-10.0075.fcs,1
409.38074,1056.0118,3480.9067,21.315392000000003,941.1973,RMM2018-10-10.0075.fcs,1
473.42096,1313.3328,6980.3735,23.143042,2350.2876,RMM2018-10-10.0075.fcs,1
493.6841,948.7139,4233.4023,52.419304,1204.213,RMM2018-10-10.0075.fcs,1
536.91943,1052.3502,6742.1143,50.602734000000005,2251.6067,RMM2018-10-10.0075.fcs,1
537.78625,1269.6982,6619.1826,41.747240000000005,1966.6166,RMM2018-10-10.0075.fcs,1
577.98755,1226.335,4625.8286,9.601078,1124.2472,RMM2018-10-10.0075.fcs,1
583.51385,765.4589,3788.1620000000003,5.093483,1127.0724,RMM2018-10-10.0075.fcs,1
591.3157,1129.2357,5576.905,-34.112713,2834.4204,RMM2018-10-10.0075.fcs,1
592.72437,2125.044,4720.0312,29.722801,1920.2539,RMM2018-10-10.0075.fcs,1
635.8512599999999,331.97,5956.7837,-0.3997395,1370.5181,RMM2018-10-10.0075.fcs,1
671.82654,900.25946,4986.3325,-21.126831,639.242,RMM2018-10-10.0075.fcs,1
710.9441,1835.3586,5585.056,-13.794065,566.53094,RMM2018-10-10.0075.fcs,1
777.3683,1228.4349,4338.7573,3.0402656,1242.2755,RMM2018-10-10.0075.fcs,1
798.0649,1677.1378,3978.8940000000002,-6.040006,1357.0839,RMM2018-10-10.0075.fcs,1
809.6593,476.19043,6638.9297,29.064613,1873.5309,RMM2018-10-10.0075.fcs,1
817.89465,1293.0116,3590.9102,15.298710999999999,1200.6302,RMM2018-10-10.0075.fcs,1
846.9348,596.65375,3629.8347,15.531410000000001,811.2864400000001,RMM2018-10-10.0075.fcs,1
855.92865,1413.046,6897.941,-27.815649,2594.4497,RMM2018-10-10.0075.fcs,1
887.8946,1103.0454,4592.3975,-2.4233139,1230.6486,RMM2018-10-10.0075.fcs,1
890.7119,1536.4841,3636.1301,55.928196,754.8723,RMM2018-10-10.0075.fcs,1
897.86365,529.4585599999999,4276.4297,-24.564087,628.41754,RMM2018-10-10.0075.fcs,1
906.2073,283.54474,3585.7673,46.31492,1269.32,RMM2018-10-10.0075.fcs,1
932.1051,1017.7991,3546.7056,49.0638,926.5017,RMM2018-10-10.0075.fcs,1
946.9503,578.5518,4463.9736,24.024723,2195.0168,RMM2018-10-10.0075.fcs,1
992.3527,385.8359,5318.736999999999,-13.018678,1429.1874,RMM2018-10-10.0075.fcs,1
997.8791,464.77045,4152.6714,0.5816679,1032.7134,RMM2018-10-10.0075.fcs,1
1007.6314,2423.6746,6263.806,7.123814599999999,2087.36,RMM2018-10-10.0075.fcs,1
1035.8048,2174.7349,5327.9185,59.518597,1756.9688,RMM2018-10-10.0075.fcs,1
1072.2135,1121.3927,5764.7485,29.309496000000003,2045.1522,RMM2018-10-10.0075.fcs,1
1078.3899,1501.2015,5371.3354,23.51719,2555.144,RMM2018-10-10.0075.fcs,1
