HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
13.081866999999999,1389.1829,5170.951,31.297667999999998,5525.2017,RMM2018-10-10.0039.fcs,1
50.160534000000006,784.6823,3798.0312,37.93878,41.078144,RMM2018-10-10.0039.fcs,1
80.979164,791.46954,4770.2134,1.0109606,11.859259,RMM2018-10-10.0039.fcs,1
111.15575,2674.5466,7624.0376,29.061613,53.491240000000005,RMM2018-10-10.0039.fcs,1
160.59396,3223.4817,4431.807,-7.9328265,-29.39617,RMM2018-10-10.0039.fcs,1
189.24565,1436.1516,5370.3984,5.8567142,1673.7559,RMM2018-10-10.0039.fcs,1
313.32275,2652.5002,5567.9277,18.821043,7278.435,RMM2018-10-10.0039.fcs,1
331.94232,658.42725,4021.593,37.28668,-24.731209,RMM2018-10-10.0039.fcs,1
379.37415,1533.1743,3973.502,18.589584,10.795567,RMM2018-10-10.0039.fcs,1
386.59726,2183.2695,7556.8105,0.7342999,105.96297,RMM2018-10-10.0039.fcs,1
388.04187,1057.2665,3683.52,8.767176,1921.2183,RMM2018-10-10.0039.fcs,1
423.5154,1977.6511,6965.6759999999995,-8.613397,508.7287,RMM2018-10-10.0039.fcs,1
436.3565,1962.1512,4937.357,0.24893165,11651.358999999999,RMM2018-10-10.0039.fcs,1
459.47045999999995,3106.5457,4998.313,32.170444,-46.792355,RMM2018-10-10.0039.fcs,1
499.51862,3013.4739,4006.5823,47.55232,6360.9966,RMM2018-10-10.0039.fcs,1
524.5588,3361.0664,6431.6455,-5.888714299999999,-42.369854,RMM2018-10-10.0039.fcs,1
562.6005,2755.7314,7554.9873,25.880058,44.725246000000006,RMM2018-10-10.0039.fcs,1
567.1752,2317.604,5836.865,31.344316,25.857939000000002,RMM2018-10-10.0039.fcs,1
569.26184,1258.5775,3909.135,26.06658,35.50828,RMM2018-10-10.0039.fcs,1
604.41437,2316.3772,3611.1074,-7.953016000000001,13264.608,RMM2018-10-10.0039.fcs,1
607.9456,959.5507,7536.593000000001,60.103252000000005,4128.6875,RMM2018-10-10.0039.fcs,1
608.66797,1889.1207,7071.0127,43.10647,1209.626,RMM2018-10-10.0039.fcs,1
629.3742,2136.8855,3788.3655,50.1876,-32.897045,RMM2018-10-10.0039.fcs,1
647.9938400000001,1183.1642,3715.5159,22.408703,78.81461999999999,RMM2018-10-10.0039.fcs,1
659.6311,3076.5588,7295.693,-10.55922,-61.58898000000001,RMM2018-10-10.0039.fcs,1
665.8911,2689.0437,4647.3804,9.601078,-50.792294,RMM2018-10-10.0039.fcs,1
694.1415400000001,2670.3882,6146.1704,39.652164,1293.5201,RMM2018-10-10.0039.fcs,1
725.44165,2963.7483,4364.944,32.302054999999996,12.773439999999999,RMM2018-10-10.0039.fcs,1
763.7242,1070.9108,3943.2073,2.794146,5824.5967,RMM2018-10-10.0039.fcs,1
796.14795,630.09485,4562.5967,14.01382,1120.9502,RMM2018-10-10.0039.fcs,1
858.1062599999999,1834.0608,7333.4169999999995,0.8292773000000001,14.538673999999999,RMM2018-10-10.0039.fcs,1
869.262,567.553,3816.8748,4.946594999999999,982.5736,RMM2018-10-10.0039.fcs,1
870.4658,846.49603,4551.0674,35.95295,119.82986499999998,RMM2018-10-10.0039.fcs,1
873.67615,820.9798,5750.2876,31.669247,57.40897,RMM2018-10-10.0039.fcs,1
907.86554,3466.6392,6899.0854,36.406387,1212.4121,RMM2018-10-10.0039.fcs,1
919.5830699999999,1207.4131,4931.332,-22.63472,-5.670208000000001,RMM2018-10-10.0039.fcs,1
942.055,3444.3745,3649.7239,20.851377,1209.9327,RMM2018-10-10.0039.fcs,1
943.1785,1640.5935,5726.4604,-0.41780782,792.9899,RMM2018-10-10.0039.fcs,1
949.03735,3034.7412,5075.026,-7.527642299999999,0.28599405,RMM2018-10-10.0039.fcs,1
987.3198,2825.5574,7141.103,-12.15198,7150.068,RMM2018-10-10.0039.fcs,1
1054.8158,2976.7852,6780.271,-26.888937,7.4315023,RMM2018-10-10.0039.fcs,1
1107.0631,2442.1545,8111.2114,19.652794,92.20517,RMM2018-10-10.0039.fcs,1
1157.9459,814.10803,4876.219,32.212140000000005,11815.376,RMM2018-10-10.0039.fcs,1
1232.344,1647.8965,6150.226,38.688747,2.5044299999999997,RMM2018-10-10.0039.fcs,1
1246.7902,2555.9902,7746.5737,59.29455,23.034885,RMM2018-10-10.0039.fcs,1
1254.1738,1562.3401,4270.279,-10.449823,170.15295,RMM2018-10-10.0039.fcs,1
