HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
30.716661,1886.5262,6595.2519999999995,37.572758,2376.7470000000003,RMM2018-10-10.0043.fcs,1
31.581919,746.2274,6363.7515,9.0748,2229.0286,RMM2018-10-10.0043.fcs,1
80.79347,1942.8551,3303.2776,28.56845,1083.059,RMM2018-10-10.0043.fcs,1
86.30949,939.52075,3756.3438,17.877556,832.7002,RMM2018-10-10.0043.fcs,1
108.37357,1967.9305,4414.512,33.833443,2103.417,RMM2018-10-10.0043.fcs,1
134.8721,1489.3142,5375.741,10.7670965,1099.2793,RMM2018-10-10.0043.fcs,1
158.4504,955.8618,3168.6868,38.918827,907.6369,RMM2018-10-10.0043.fcs,1
189.81598,532.2731,6018.0947,13.618797,1782.5197,RMM2018-10-10.0043.fcs,1
215.44925,2742.6895,6648.8696,46.84321,3582.1887,RMM2018-10-10.0043.fcs,1
243.35384,1681.6035,4344.8047,46.799095,1703.0339999999999,RMM2018-10-10.0043.fcs,1
266.39133,1361.8959,4257.287,18.903698000000002,1104.498,RMM2018-10-10.0043.fcs,1
295.8101,881.0017,3971.3057,21.980057000000002,884.82654,RMM2018-10-10.0043.fcs,1
314.305,2899.877,5976.474,37.561703,1459.4598,RMM2018-10-10.0043.fcs,1
354.43134,1455.7756,5397.9146,44.336147,1084.1852,RMM2018-10-10.0043.fcs,1
361.3534,1134.6437,4912.706,33.80455,1321.4242,RMM2018-10-10.0043.fcs,1
372.16913,2801.3584,4457.0093,19.591982,1475.3613,RMM2018-10-10.0043.fcs,1
388.9335,1905.9078,4256.58,40.089687,906.1892,RMM2018-10-10.0043.fcs,1
463.56199999999995,837.7116,3514.941,26.485857,1499.5433,RMM2018-10-10.0043.fcs,1
472.53905999999995,1822.9908,3943.6375,60.273357,2799.2124,RMM2018-10-10.0043.fcs,1
473.29614000000004,859.5404699999999,4051.9097,99.636826,2505.6858,RMM2018-10-10.0043.fcs,1
500.9844,1099.7317,4494.6846,52.344193,1425.9438,RMM2018-10-10.0043.fcs,1
579.2903,445.01962000000003,3455.6284,44.71107,780.34515,RMM2018-10-10.0043.fcs,1
675.7665400000001,453.5529,4549.331,46.984790000000004,1793.601,RMM2018-10-10.0043.fcs,1
680.201,506.01624000000004,3700.3247,54.865704,1396.9005,RMM2018-10-10.0043.fcs,1
681.3907,320.91537,4142.564,63.306059999999995,1676.2512,RMM2018-10-10.0043.fcs,1
685.71704,1951.5314,6416.045,22.408703,2968.6245,RMM2018-10-10.0043.fcs,1
687.6638,1019.918,4147.209,63.940780000000004,970.9425,RMM2018-10-10.0043.fcs,1
703.7793,2593.6104,3226.8794,40.700737,1410.0564,RMM2018-10-10.0043.fcs,1
813.1263,1084.0293,5116.3726,29.03107,1148.8016,RMM2018-10-10.0043.fcs,1
820.8055,2232.975,3177.2478,15.589528,1156.4233,RMM2018-10-10.0043.fcs,1
824.59094,544.6856700000001,3630.1936,-2.4776511,676.7007,RMM2018-10-10.0043.fcs,1
855.8484,724.7015,4729.8677,16.977512,2282.8257,RMM2018-10-10.0043.fcs,1
878.5614,2197.8035,5370.316999999999,17.205707999999998,1472.7051,RMM2018-10-10.0043.fcs,1
918.0388,417.0431,6644.706999999999,25.656376,1482.9318,RMM2018-10-10.0043.fcs,1
938.5887,931.8684,3956.0154,58.478466000000004,1285.1672,RMM2018-10-10.0043.fcs,1
984.77185,870.32745,3991.1094,18.84068,1165.2794,RMM2018-10-10.0043.fcs,1
987.6921,1535.3541,3178.9473,-22.890832999999997,1053.896,RMM2018-10-10.0043.fcs,1
1022.4106,1676.0432,4627.124,43.072144,1572.6274,RMM2018-10-10.0043.fcs,1
1035.6057,2199.1226,4808.116,28.417173,2433.7656,RMM2018-10-10.0043.fcs,1
1045.1237,902.194,3221.4194,19.962715,1055.0344,RMM2018-10-10.0043.fcs,1
1052.6946,2325.4797,5165.6320000000005,54.8868,2516.6865,RMM2018-10-10.0043.fcs,1
1079.6257,703.7119,6220.465999999999,22.784136,1655.5427,RMM2018-10-10.0043.fcs,1
1200.5455,2729.4036,4848.1084,58.449066,2049.6172,RMM2018-10-10.0043.fcs,1
1233.4253,2864.1653,3803.895,40.562813,1303.1063,RMM2018-10-10.0043.fcs,1
1235.8048,1197.7687,4737.4346,41.69685,1286.9938,RMM2018-10-10.0043.fcs,1
1240.8883,514.4227,5461.821999999999,52.24967,1019.4443,RMM2018-10-10.0043.fcs,1
1272.9027,1380.3242,5465.9756,38.50972,1501.9188,RMM2018-10-10.0043.fcs,1
1388.8474,978.3728,4889.0713,5.9363985,1793.9496,RMM2018-10-10.0043.fcs,1
