HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
44.0247,3527.2712,9365.122,13.209897,106.316,RMM2018-10-10.0054.fcs,1
70.751335,1791.1927,5352.043000000001,-14.724012,90.426285,RMM2018-10-10.0054.fcs,1
83.81768000000001,2940.7954,4793.16,-23.905401,30.77078,RMM2018-10-10.0054.fcs,1
136.60277,1879.6956,4294.51,-7.816873599999999,531.8815,RMM2018-10-10.0054.fcs,1
205.34961,2788.6313,9024.46,4.5203805,-4.4323387,RMM2018-10-10.0054.fcs,1
212.55095,1213.5435,5968.7363,37.764896,54.5581,RMM2018-10-10.0054.fcs,1
329.77692,2045.2758,4721.508,-16.010454,60.470848,RMM2018-10-10.0054.fcs,1
357.98837000000003,2791.1904,4328.7734,43.75783,4.666237000000001,RMM2018-10-10.0054.fcs,1
385.23465,1684.0366,6272.981,-2.0251427,75.45085,RMM2018-10-10.0054.fcs,1
391.24817,3985.184,5098.036,0.7342999,90.0334,RMM2018-10-10.0054.fcs,1
399.86008,1984.3496,6388.187,6.68882,34.53183,RMM2018-10-10.0054.fcs,1
452.4967,2178.2183,6140.1978,-38.50742,107.84662,RMM2018-10-10.0054.fcs,1
467.6418,3615.3547,9561.664,24.674181,74.08491,RMM2018-10-10.0054.fcs,1
470.53717,3221.5570000000002,4392.9097,-11.938015,70.78175,RMM2018-10-10.0054.fcs,1
471.72504000000004,1254.3422,5731.568,-13.248120000000002,0.71652377,RMM2018-10-10.0054.fcs,1
510.5529,2939.8794,6524.104,18.727068,83.27537,RMM2018-10-10.0054.fcs,1
562.29865,1924.2783,5317.1396,-19.96048,-2.6024580000000004,RMM2018-10-10.0054.fcs,1
578.9285,2369.882,5508.7134,9.058534,52.274387,RMM2018-10-10.0054.fcs,1
606.4718,1085.5208,5540.5635,-0.05454564,24.48842,RMM2018-10-10.0054.fcs,1
637.0589,3726.5989,4738.557,-16.34881,61.62842,RMM2018-10-10.0054.fcs,1
663.6371,3563.9626,7891.593000000001,0.22253251,36.720524,RMM2018-10-10.0054.fcs,1
688.9531,2810.0652,5434.5293,-6.150914,1589.0297,RMM2018-10-10.0054.fcs,1
718.1297,865.44025,8187.523,32.53763,-61.779453000000004,RMM2018-10-10.0054.fcs,1
790.36584,3748.9214,6616.968000000001,-3.5928468999999996,196.98325,RMM2018-10-10.0054.fcs,1
824.5165400000001,3447.1152,6404.0635,-11.756501,8.618757,RMM2018-10-10.0054.fcs,1
1003.6592,945.02325,6048.1426,-30.387096000000003,80.318665,RMM2018-10-10.0054.fcs,1
1019.324,3005.843,8199.02,2.1107166,48.948734,RMM2018-10-10.0054.fcs,1
1043.8234,1305.3727,7234.898,-20.815327,74.27684,RMM2018-10-10.0054.fcs,1
1088.739,2320.862,5321.3105,-6.27421,-4.7499275,RMM2018-10-10.0054.fcs,1
1099.9493,1662.0603,5839.359,15.531410000000001,-47.97287,RMM2018-10-10.0054.fcs,1
1101.4341,1076.6511,4300.4854,-27.815649,86.01231999999999,RMM2018-10-10.0054.fcs,1
1133.6545,3042.2961,6876.39,46.557865,21.175410999999997,RMM2018-10-10.0054.fcs,1
1140.1135,1180.5708,4557.463,-1.9035163,-5.702917,RMM2018-10-10.0054.fcs,1
1163.3508,2508.8208,9112.698,25.24849,-7.830360400000001,RMM2018-10-10.0054.fcs,1
1209.4542,1155.3638,7992.633000000001,-20.03306,25.402887,RMM2018-10-10.0054.fcs,1
1219.9965,1198.1245,9112.336,46.888783000000004,14.342210999999999,RMM2018-10-10.0054.fcs,1
1259.047,3117.815,4629.1626,-8.575758,88.63108000000001,RMM2018-10-10.0054.fcs,1
1322.4485,1072.2532,4682.1284,-13.451626000000001,20.870805999999998,RMM2018-10-10.0054.fcs,1
1403.1481,1065.0538,9013.626,9.466026,21.823465,RMM2018-10-10.0054.fcs,1
1500.6261,2655.8894,6807.404,27.80964,123.78498,RMM2018-10-10.0054.fcs,1
1505.4517,2205.7234,4572.935,-11.345122,65.72223000000001,RMM2018-10-10.0054.fcs,1
1530.6193,2343.4314,7808.603,25.825573000000002,76.49221,RMM2018-10-10.0054.fcs,1
1534.2571,1676.9606,9545.918,23.257786,59.02309399999999,RMM2018-10-10.0054.fcs,1
1536.3358,3244.8484,4751.7324,-14.780581,-56.55506,RMM2018-10-10.0054.fcs,1
1545.6158,1749.6744,6133.768,0.42194724,30.098186,RMM2018-10-10.0054.fcs,1
1565.9578,832.4002,4640.1445,-21.247835000000002,119.18038999999999,RMM2018-10-10.0054.fcs,1
1580.5833,3966.1848,6157.547,14.546199,51.480408000000004,RMM2018-10-10.0054.fcs,1
1597.1388,1804.9742,6916.776999999999,-4.206253,37.733105,RMM2018-10-10.0054.fcs,1
1627.5775,1031.3182,4276.7715,-24.99757,16.772537,RMM2018-10-10.0054.fcs,1
1648.8845,1779.1035,8107.1445,-26.166723,5348.5522,RMM2018-10-10.0054.fcs,1
1649.5529,3420.9785,8955.813,-35.23937,4675.2827,RMM2018-10-10.0054.fcs,1
1677.0219,1299.2328,8934.016,-22.240755,146.91562,RMM2018-10-10.0054.fcs,1
1701.5212,2541.7075,6135.0454,-11.257498,100.78771,RMM2018-10-10.0054.fcs,1
1736.1173,2890.6396,6466.2676,30.215165999999996,85.633606,RMM2018-10-10.0054.fcs,1
1742.7249,3513.0440000000003,5442.879,30.548046000000003,37.032757000000004,RMM2018-10-10.0054.fcs,1
1833.4469,2329.6868,5160.9490000000005,0.014147281999999999,-45.826954,RMM2018-10-10.0054.fcs,1
1877.6942,1305.6378,4794.248,20.004285999999997,41.421787,RMM2018-10-10.0054.fcs,1
1891.1318,1260.7164,8928.961,12.1780615,1.3099566,RMM2018-10-10.0054.fcs,1
1901.3027,1252.0769,6485.644,0.01699233,11.541439,RMM2018-10-10.0054.fcs,1
1920.1599,2942.5598,6577.9424,22.716784,8.671194,RMM2018-10-10.0054.fcs,1
1998.9292,1355.9661,5088.4956,-36.74812,62.810513,RMM2018-10-10.0054.fcs,1
2035.0845,2039.9946,4848.5063,7.743917,-89.22854,RMM2018-10-10.0054.fcs,1
2051.0461,2883.7715,5235.164000000001,-21.615064999999998,152.21548,RMM2018-10-10.0054.fcs,1
2065.8943,3281.1736,9693.030999999999,5.711276,1.9930818,RMM2018-10-10.0054.fcs,1
2098.3374,2317.1125,9644.064,12.236272999999999,64.80688,RMM2018-10-10.0054.fcs,1
2114.4478,1113.1428,4596.147,-35.803368,4332.8936,RMM2018-10-10.0054.fcs,1
2241.6220000000003,2054.1357,5783.803000000001,-5.934126999999999,-9.05555,RMM2018-10-10.0054.fcs,1
2253.055,2501.6882,5670.0913,5.378826,8.984585000000001,RMM2018-10-10.0054.fcs,1
2287.28,1825.4622,5611.5854,-1.7333863,72.60885999999999,RMM2018-10-10.0054.fcs,1
2378.2988,1455.8069,4214.4155,-7.8815546,315.4597,RMM2018-10-10.0054.fcs,1
2388.2473,2744.6013,5914.719,43.25778,10.195449,RMM2018-10-10.0054.fcs,1
2458.9985,1771.8816,4211.549,-4.846114,85.45495600000001,RMM2018-10-10.0054.fcs,1
2462.7104,2176.9970000000003,6219.8516,12.092977000000001,65.636314,RMM2018-10-10.0054.fcs,1
2508.1458,3613.994,9951.446,-26.650129999999997,9260.336,RMM2018-10-10.0054.fcs,1
2554.472,3150.0515,8735.1455,-26.474123,-10.807207,RMM2018-10-10.0054.fcs,1
2620.9917,3821.8154,5975.177,53.337864,26.880492999999998,RMM2018-10-10.0054.fcs,1
2659.3738,2327.0115,9013.125,6.674981,41.812103,RMM2018-10-10.0054.fcs,1
2705.1804,1572.7809,7451.001,50.49111,88.82193000000001,RMM2018-10-10.0054.fcs,1
2737.0295,2464.4727,8251.73,-8.415412,41.97493,RMM2018-10-10.0054.fcs,1
2744.8992,2698.2827,7905.465999999999,8.151311999999999,-16.154799,RMM2018-10-10.0054.fcs,1
2757.1490000000003,2106.7788,9137.778,-24.131151000000003,78.90535,RMM2018-10-10.0054.fcs,1
2765.0183,1038.5330000000001,4591.4946,-12.85137,50.133133,RMM2018-10-10.0054.fcs,1
2772.4424,999.7398699999999,5811.7119999999995,-3.6540464999999998,26.233776000000002,RMM2018-10-10.0054.fcs,1
2784.3208,2155.4785,5900.8096,22.288609,89.99122,RMM2018-10-10.0054.fcs,1
2789.3694,1861.6359,5490.2217,-18.06945,88.99025,RMM2018-10-10.0054.fcs,1
2832.5032,1501.9869,9643.804,-13.503063000000001,51.427174,RMM2018-10-10.0054.fcs,1
2877.196,3539.263,6143.37,15.856698000000002,-62.726806999999994,RMM2018-10-10.0054.fcs,1
2878.087,2882.3320000000003,5672.4766,-1.9855561000000002,27.713924,RMM2018-10-10.0054.fcs,1
2897.9834,2804.8259999999996,4838.8506,32.081097,41.281315,RMM2018-10-10.0054.fcs,1
2939.7065,1813.6748,4231.710999999999,8.324038999999999,-2.7904222,RMM2018-10-10.0054.fcs,1
2979.8708,3508.6746,7382.8027,-5.8384730000000005,5465.036999999999,RMM2018-10-10.0054.fcs,1
3008.1565,1191.8777,7496.545,-14.890869,-22.845589999999998,RMM2018-10-10.0054.fcs,1
3009.6409999999996,2899.6679999999997,8947.456,-2.6548830000000003,74.71882,RMM2018-10-10.0054.fcs,1
3024.5637,1260.042,8790.026,-13.477192,-28.717665000000004,RMM2018-10-10.0054.fcs,1
3089.153,3551.4036,6296.96,-25.654035999999998,-19.856375,RMM2018-10-10.0054.fcs,1
3118.3296,2077.7603,9019.696,4.4298934999999995,-21.235146,RMM2018-10-10.0054.fcs,1
3121.3735,1436.7959,6586.468000000001,6.077024,38.892105,RMM2018-10-10.0054.fcs,1
3124.4915,2209.6409,6296.6504,22.707909,85.9993,RMM2018-10-10.0054.fcs,1
3158.0483,1571.8143,4980.5786,-16.520670000000003,12.216018,RMM2018-10-10.0054.fcs,1
3197.8413,3622.7114,7190.2993,8.1194515,0.08682966,RMM2018-10-10.0054.fcs,1
3199.5488,2736.8018,7681.3315,-34.739574,57.504380000000005,RMM2018-10-10.0054.fcs,1
3245.3552,1931.1229999999998,8135.6685,9.456007000000001,41.232613,RMM2018-10-10.0054.fcs,1
3258.5703,3942.555,8031.9526,-0.9123880999999999,-38.510506,RMM2018-10-10.0054.fcs,1
3262.4307,3996.2495,4411.904,-28.190453,31.341765999999996,RMM2018-10-10.0054.fcs,1
3273.1956,2269.4294,7069.3413,-40.233643,11.448468,RMM2018-10-10.0054.fcs,1
3281.4363,3164.027,8499.993,-28.94608,3796.4866,RMM2018-10-10.0054.fcs,1
3299.0312,2259.407,5033.226,4.0090227,116.157646,RMM2018-10-10.0054.fcs,1
3368.1494,1827.8235,4524.315,14.012579,130.86998,RMM2018-10-10.0054.fcs,1
3403.1167,2849.5225,4301.9487,7.192019999999999,136.61699,RMM2018-10-10.0054.fcs,1
3517.5957,3107.0813,5755.991,-17.22032,-6.0141797,RMM2018-10-10.0054.fcs,1
3520.0457,3600.1809999999996,7026.24,14.624906,127.084015,RMM2018-10-10.0054.fcs,1
3551.3755,2899.8882,4202.804,-14.090309,56.959846,RMM2018-10-10.0054.fcs,1
3579.9578,2233.1396,8105.541,-25.525612,94.93995,RMM2018-10-10.0054.fcs,1
3604.0117,2171.885,6590.383000000001,-28.807985,-10.180587,RMM2018-10-10.0054.fcs,1
3624.7990000000004,1436.0946,7786.709,-25.215906,41.050297,RMM2018-10-10.0054.fcs,1
3648.4075,2722.94,6510.467,-29.798146999999997,58.55739200000001,RMM2018-10-10.0054.fcs,1
3657.465,1214.1266,8810.319,10.609829,619.2273,RMM2018-10-10.0054.fcs,1
3660.8059999999996,2126.9646,4771.269,-5.649724,82.5457,RMM2018-10-10.0054.fcs,1
3695.402,3897.0522,8331.192,-9.6173935,102.40547,RMM2018-10-10.0054.fcs,1
3768.9749,2412.494,5923.3574,-0.37815714,108.52299,RMM2018-10-10.0054.fcs,1
3791.0242,1427.1908,6069.3296,6.6189575,63.0997,RMM2018-10-10.0054.fcs,1
3866.0068,1922.5279999999998,8971.116,4.713038,-35.307392,RMM2018-10-10.0054.fcs,1
3866.8979999999997,3616.0098,7702.6084,17.295901999999998,51.84022,RMM2018-10-10.0054.fcs,1
3894.9607,1659.1733,7063.1616,34.171065999999996,17.924333999999998,RMM2018-10-10.0054.fcs,1
3919.163,3271.7976,4727.849,8.851623,25.016289,RMM2018-10-10.0054.fcs,1
3938.3174,2149.9368,7587.005,-34.98153,15.829588000000001,RMM2018-10-10.0054.fcs,1
3946.1128,3124.5693,7048.8916,12.760297,69.41839,RMM2018-10-10.0054.fcs,1
3985.5344,3476.2356,7315.5825,26.40995,-49.752808,RMM2018-10-10.0054.fcs,1
4004.1687,2996.539,6493.251,-0.8909328000000001,7.7185545,RMM2018-10-10.0054.fcs,1
4031.4893,1765.5131,6381.0034,-10.227303,79.085884,RMM2018-10-10.0054.fcs,1
4056.5828,2863.5117,5168.3867,27.365551,83.76659000000001,RMM2018-10-10.0054.fcs,1
4139.287,3449.0170000000003,9876.749,-22.302155,95.06491,RMM2018-10-10.0054.fcs,1
4144.038,1678.5574,5064.626,-30.755793,80.82199,RMM2018-10-10.0054.fcs,1
4254.8794,867.0068,4559.967000000001,17.190413,25.633331,RMM2018-10-10.0054.fcs,1
4285.467000000001,2315.252,5599.6255,-21.171164,-37.12815,RMM2018-10-10.0054.fcs,1
4337.880999999999,3233.3604,6131.356,14.734451000000002,32.91209,RMM2018-10-10.0054.fcs,1
4354.362,2138.4724,8613.243,1.7559543000000002,129.73807,RMM2018-10-10.0054.fcs,1
4359.707,2682.4970000000003,7125.885,-24.554333,1.1433871,RMM2018-10-10.0054.fcs,1
4385.1720000000005,1741.0917,5963.685,-8.91012,38.32824,RMM2018-10-10.0054.fcs,1
4389.5522,1702.4049,8937.286,-18.835886,-36.06586,RMM2018-10-10.0054.fcs,1
4493.637,1108.3121,6356.151,0.013607501999999999,74.55481,RMM2018-10-10.0054.fcs,1
4522.6655,3556.8037,8705.185,18.49905,38.196182,RMM2018-10-10.0054.fcs,1
4563.1265,1909.8359,7586.5356,25.000313000000002,65.2784,RMM2018-10-10.0054.fcs,1
4572.11,3715.1921,9078.634,12.145206,-4.80128,RMM2018-10-10.0054.fcs,1
4581.167,3954.9998,5161.1616,41.95545,97.18887,RMM2018-10-10.0054.fcs,1
4621.7026,3516.8174,4426.08,-1.3799305,-3.9602792,RMM2018-10-10.0054.fcs,1
4733.286,1253.4277,9979.627,-8.379167,154.95218,RMM2018-10-10.0054.fcs,1
4945.911,3044.6423,5022.2764,4.8691435,4866.710999999999,RMM2018-10-10.0054.fcs,1
4946.728,986.9856,6428.721,11.621414,1942.7144,RMM2018-10-10.0054.fcs,1
4975.979,2789.7659999999996,7095.4424,5.6831913,7.088247,RMM2018-10-10.0054.fcs,1
5000.4785,3180.0237,9203.787,6.9990619999999995,139.62624,RMM2018-10-10.0054.fcs,1
5012.431,3108.3977,5982.795,-20.308634,20.695861999999998,RMM2018-10-10.0054.fcs,1
5116.071,1639.1289,6710.307,-18.14507,29.68667,RMM2018-10-10.0054.fcs,1
5139.531,3087.5022,4221.653,-10.975869,-21.837027,RMM2018-10-10.0054.fcs,1
5142.7974,1564.8623,5577.653,20.613699,-6.3000875,RMM2018-10-10.0054.fcs,1
5157.2744,1934.2527,5703.9907,15.23465,57.31055500000001,RMM2018-10-10.0054.fcs,1
5234.7075,1221.614,8685.166,4.338046,60.008987,RMM2018-10-10.0054.fcs,1
5263.661,3445.7427,6789.196,5.9021893,-51.580420000000004,RMM2018-10-10.0054.fcs,1
5276.281999999999,1332.3815,4227.759,15.972292000000001,-17.191572,RMM2018-10-10.0054.fcs,1
5331.8887,3244.7153,5487.391,3.9627532999999997,2625.2715,RMM2018-10-10.0054.fcs,1
5346.365,2510.524,7089.393,-35.77113,62.514748,RMM2018-10-10.0054.fcs,1
5354.0864,811.4519,9730.726,24.115032,-27.468490000000003,RMM2018-10-10.0054.fcs,1
5363.589,1277.7405,7483.3057,21.125823999999998,3595.1740000000004,RMM2018-10-10.0054.fcs,1
5364.406,1834.4237,8270.817,16.989391,276.43796000000003,RMM2018-10-10.0054.fcs,1
5375.468000000001,1551.5138,8272.896,15.016472,10.310001,RMM2018-10-10.0054.fcs,1
5394.399,2123.078,5270.4067,2.1600976000000003,138.6326,RMM2018-10-10.0054.fcs,1
5395.8843,3033.8853,5993.823,-30.618624,70.350075,RMM2018-10-10.0054.fcs,1
5399.0019999999995,2526.3398,4905.742,24.059279999999998,24.9633,RMM2018-10-10.0054.fcs,1
5425.209,1961.3136,5037.18,23.763287,-29.161666999999998,RMM2018-10-10.0054.fcs,1
5492.471,1949.1663,4625.095,-38.36085,45.3324,RMM2018-10-10.0054.fcs,1
5505.536999999999,1962.8817,6919.8677,-1.9548776,22.299856,RMM2018-10-10.0054.fcs,1
5508.8037,2363.3557,6147.52,-19.595318,-32.805267,RMM2018-10-10.0054.fcs,1
5521.3506,822.5743,5239.3687,-27.307774,83.96821,RMM2018-10-10.0054.fcs,1
5523.281,2634.1213,7166.055,14.263539000000002,-19.244766000000002,RMM2018-10-10.0054.fcs,1
5561.366,3054.2375,7675.8384,10.198551,18.35422,RMM2018-10-10.0054.fcs,1
5580.2236,1839.3497,5574.3306,10.144689,-2.5740693,RMM2018-10-10.0054.fcs,1
5637.0176,2595.387,7544.026,-47.92249,8.371385,RMM2018-10-10.0054.fcs,1
5653.795999999999,1439.1062,8669.378,2.0792005000000002,1638.3481,RMM2018-10-10.0054.fcs,1
5721.5034,2510.7546,6213.901,-55.289646,28.457098,RMM2018-10-10.0054.fcs,1
5726.0317,1467.9349,4291.555,1.354451,-13.616743,RMM2018-10-10.0054.fcs,1
5730.8574,1796.3783,7522.728,-11.459912,2.2131792999999997,RMM2018-10-10.0054.fcs,1
5742.142,2426.992,5974.6206,5.014146,-43.119415000000004,RMM2018-10-10.0054.fcs,1
5743.033,3466.2751,8492.860999999999,43.970734,33.070328,RMM2018-10-10.0054.fcs,1
5817.0509999999995,2881.3118,7251.3057,-28.845364,75.38614,RMM2018-10-10.0054.fcs,1
5882.754,3183.3347,5886.1343,-2.8396506,-17.196966,RMM2018-10-10.0054.fcs,1
5946.6006,3494.1602,4960.024,-21.065635999999998,60.627712,RMM2018-10-10.0054.fcs,1
5956.9204,2450.775,10018.305,-17.359517999999998,-29.1551,RMM2018-10-10.0054.fcs,1
5979.340999999999,2058.258,8622.771,-23.382822,-18.568123,RMM2018-10-10.0054.fcs,1
5993.818,1811.121,4918.28,-4.729384400000001,75.40894,RMM2018-10-10.0054.fcs,1
6018.689,1321.9939,6099.215999999999,-10.08917,91.456085,RMM2018-10-10.0054.fcs,1
6020.1733,2667.3652,7264.4287,-6.1634855,123.45116000000002,RMM2018-10-10.0054.fcs,1
6032.571999999999,978.38855,7738.1533,-30.910088000000002,13.951969,RMM2018-10-10.0054.fcs,1
6100.6504,3389.8376,8290.593,-38.247353000000004,25.827663,RMM2018-10-10.0054.fcs,1
6144.6753,994.44855,7211.903,-33.35046,1292.5481,RMM2018-10-10.0054.fcs,1
6145.4175,2857.0652,5449.203,18.298445,1596.7297,RMM2018-10-10.0054.fcs,1
6147.3477,1512.8323,4767.654,-48.37219,781.3772,RMM2018-10-10.0054.fcs,1
6150.7627,2258.7744,5453.5986,2.204454,48.268383,RMM2018-10-10.0054.fcs,1
6181.4980000000005,1940.9154,6145.314,30.36598,736.66846,RMM2018-10-10.0054.fcs,1
6186.6206,2052.5042,7865.3047,-10.045459,61.161964000000005,RMM2018-10-10.0054.fcs,1
6187.1406,1585.0878,7870.9297,-14.794870000000001,46.789326,RMM2018-10-10.0054.fcs,1
6276.0806,1548.2731,9501.575,2.312073,177.38504,RMM2018-10-10.0054.fcs,1
6315.503000000001,2813.448,6532.813,-4.567518700000001,81.30279,RMM2018-10-10.0054.fcs,1
6320.8477,2674.5376,4486.3647,7.6446247000000005,56.975356999999995,RMM2018-10-10.0054.fcs,1
6323.001,4022.9114,9381.642,38.55493,-7.3362617,RMM2018-10-10.0054.fcs,1
6329.089,3276.6659999999997,6284.1074,-2.522173,-6.1096687,RMM2018-10-10.0054.fcs,1
6344.234,3728.0059,5388.845,-13.278278,2008.0491,RMM2018-10-10.0054.fcs,1
6352.4004,3552.8237,8166.675,34.891182,70.17586,RMM2018-10-10.0054.fcs,1
6377.345,2800.135,7126.984,2.8836353,-52.301285,RMM2018-10-10.0054.fcs,1
6413.946,3413.123,6769.5737,-44.174904,1710.4073,RMM2018-10-10.0054.fcs,1
6424.9336,2767.718,5149.907999999999,1.8608537,30.010061,RMM2018-10-10.0054.fcs,1
6434.2134,1700.7024,5988.1177,-10.328565,66.09425999999999,RMM2018-10-10.0054.fcs,1
6446.315,992.3792,6929.7573,20.616073999999998,55.10463000000001,RMM2018-10-10.0054.fcs,1
6465.7656,3046.6252,6525.2866,23.572517,1177.3729,RMM2018-10-10.0054.fcs,1
6466.36,2735.8386,6636.683000000001,-5.1278687000000005,828.2864400000001,RMM2018-10-10.0054.fcs,1
6525.8267,894.3810000000001,4858.6465,15.975319,1439.2084,RMM2018-10-10.0054.fcs,1
6579.651,2739.9858,6603.1245,-45.340874,-6.827777,RMM2018-10-10.0054.fcs,1
6614.173000000001,1567.1019,7452.4575,-14.131521,30.739382,RMM2018-10-10.0054.fcs,1
6642.0874,3170.5117,7484.0537,4.9346137,380.4045,RMM2018-10-10.0054.fcs,1
6682.1772,2412.9338,7419.8135,-14.972180999999999,-26.358013,RMM2018-10-10.0054.fcs,1
6687.745,4051.2725,7875.066999999999,-31.761571999999997,19.257437,RMM2018-10-10.0054.fcs,1
6689.4526,2168.2993,5099.5176,-27.143938000000002,2364.7043,RMM2018-10-10.0054.fcs,1
6761.5405,1302.786,6775.6084,8.129257,62.87110500000001,RMM2018-10-10.0054.fcs,1
6793.9834,2521.1067,8588.478000000001,-48.954964000000004,17.132463,RMM2018-10-10.0054.fcs,1
6800.2944,2485.6978,9439.651,-6.602819,-28.036913000000002,RMM2018-10-10.0054.fcs,1
6801.7046,1282.3387,7514.2919999999995,-26.066485999999998,-53.86204,RMM2018-10-10.0054.fcs,1
6869.411999999999,939.1783,8272.1455,-2.3205438,-19.111995999999998,RMM2018-10-10.0054.fcs,1
6980.031,1957.795,8875.621,17.263773,14.861652,RMM2018-10-10.0054.fcs,1
6981.293000000001,2349.15,5812.5283,9.348265,-3.6237326000000003,RMM2018-10-10.0054.fcs,1
6983.149,2407.6420000000003,6564.9863,-9.86387,2259.9148,RMM2018-10-10.0054.fcs,1
7010.915,2832.6985,8227.385,-1.7557441999999999,11.599672,RMM2018-10-10.0054.fcs,1
7037.9385,2985.3176,8378.603000000001,3.079582,24.108696,RMM2018-10-10.0054.fcs,1
7065.927,1408.9583,4705.606,-17.588324,9.111388999999999,RMM2018-10-10.0054.fcs,1
7074.7617,1707.2446,6222.922,-29.403184999999997,57.522969999999994,RMM2018-10-10.0054.fcs,1
7075.7266,1459.9775,6067.118,-4.6650057,93.909584,RMM2018-10-10.0054.fcs,1
7077.656999999999,2765.5793,8965.190999999999,-29.026514000000002,-101.9352,RMM2018-10-10.0054.fcs,1
7099.9287,1438.2554,7722.5596,1.1909896999999998,28.772973999999998,RMM2018-10-10.0054.fcs,1
7121.8306,1574.1609,4934.3574,20.292904,-39.833225,RMM2018-10-10.0054.fcs,1
7150.0415,1286.5515,4451.475,10.871183,53.055946,RMM2018-10-10.0054.fcs,1
7207.9497,1687.1064,6873.0884,-15.74276,73.832375,RMM2018-10-10.0054.fcs,1
7302.161,3495.2273,5135.249,3.8728309999999997,40.703438,RMM2018-10-10.0054.fcs,1
7317.8257,3777.5454,5960.5757,-26.006079999999997,3760.2859999999996,RMM2018-10-10.0054.fcs,1
7323.9130000000005,1274.4065,5888.8564,7.1743836,-1.3107985,RMM2018-10-10.0054.fcs,1
