HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
41.05898,505.58344000000005,6461.49,15.261045000000001,2490.1679999999997,RMM2018-10-10.0059.fcs,1
44.399734,1022.14685,5667.789000000001,22.822289,1460.1755,RMM2018-10-10.0059.fcs,1
115.52552,2393.7825,4737.5737,2.456795,616.0201,RMM2018-10-10.0059.fcs,1
116.81872,2059.3662,3675.8296,31.88472,1164.1472,RMM2018-10-10.0059.fcs,1
157.5544,1468.3691,4865.5444,13.618797,1044.1376,RMM2018-10-10.0059.fcs,1
192.36292,1383.9442,5788.8867,39.868748,1356.2378,RMM2018-10-10.0059.fcs,1
333.86014,426.1097,5018.8267,16.946978,1757.4363,RMM2018-10-10.0059.fcs,1
351.5338,883.3152,5525.531,59.77547,1819.3499,RMM2018-10-10.0059.fcs,1
358.43085,386.7949,4885.056,24.068972,1130.8259,RMM2018-10-10.0059.fcs,1
380.52295,1560.0566,3806.07,35.678616,985.9663,RMM2018-10-10.0059.fcs,1
385.37244,1888.6882,5439.956999999999,15.84385,843.801,RMM2018-10-10.0059.fcs,1
404.7704,2024.642,4661.235,44.170142999999996,1397.9149,RMM2018-10-10.0059.fcs,1
441.842,1901.7936,4171.491,-1.0260956,1167.631,RMM2018-10-10.0059.fcs,1
447.33807,811.7928,3629.7551,-19.232563,944.22687,RMM2018-10-10.0059.fcs,1
492.92325,775.20746,5130.4346,28.422314,1002.6847,RMM2018-10-10.0059.fcs,1
507.36395,1375.2195,5112.189,59.840458,940.56067,RMM2018-10-10.0059.fcs,1
514.9076,2368.7952,4389.8286,41.93012,952.4417,RMM2018-10-10.0059.fcs,1
552.8413,1180.8949,6648.0186,46.435757,1316.0583,RMM2018-10-10.0059.fcs,1
680.1134,2356.1511,3808.0432,48.313534000000004,861.0325,RMM2018-10-10.0059.fcs,1
700.1579,2374.8108,5308.5977,36.590270000000004,1681.0283,RMM2018-10-10.0059.fcs,1
760.8304,246.3513,6349.5728,32.481182000000004,2004.0813,RMM2018-10-10.0059.fcs,1
764.49445,668.2209,3527.3247,25.425226000000002,1622.3779,RMM2018-10-10.0059.fcs,1
782.8147,1955.8483,6307.234,-7.8960037,1707.85,RMM2018-10-10.0059.fcs,1
785.72437,2708.9878,3845.3525,13.715461999999999,1023.3647,RMM2018-10-10.0059.fcs,1
821.17957,2600.7275,3414.7288,17.205707999999998,1002.3145,RMM2018-10-10.0059.fcs,1
828.0766,1181.8859,3516.881,-12.289186,880.35724,RMM2018-10-10.0059.fcs,1
849.7376,1869.4443,5174.502,33.152640000000005,2671.0896,RMM2018-10-10.0059.fcs,1
851.6773699999999,1236.5006,5288.3257,42.028584,2106.3416,RMM2018-10-10.0059.fcs,1
867.84235,1372.2739,4239.9365,19.123077,1809.9058,RMM2018-10-10.0059.fcs,1
