HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
9.066432,1713.3634,1046.471,-12.167611,-27.203932,RMM2018-10-10.0067.fcs
12.377651,312.13455,4211.453,12.6754875,28509.03,RMM2018-10-10.0067.fcs
20.261505,-223.45108,4012.7783,13.494041,995.5838,RMM2018-10-10.0067.fcs
22.074793,3548.7725,3645.8396,27.578157,2345.1953,RMM2018-10-10.0067.fcs
28.539553,-296.76074,2982.0525,4.7765994,6677.729,RMM2018-10-10.0067.fcs
30.510515,2811.4482,3472.0674,-16.225094,774.7532,RMM2018-10-10.0067.fcs
38.39437,3589.82,2395.1277,24.32401,-85.03108,RMM2018-10-10.0067.fcs
63.85922,555.2462,6171.01,21.820276,1189.566,RMM2018-10-10.0067.fcs
68.98373,-3066.1284,3915.5374,29.38152,13334.259,RMM2018-10-10.0067.fcs
77.65596,8346.539,13916.114,20.135153,2149.4026,RMM2018-10-10.0067.fcs
86.80124,357.9437,4058.7405,33.145435,324.7139,RMM2018-10-10.0067.fcs
90.743164,2088.3232,1758.5892,-14.918601,375.42807,RMM2018-10-10.0067.fcs
92.71413,930.36487,1295.922,-12.000101,-99.19978,RMM2018-10-10.0067.fcs
100.124954,2142.2188,5615.7886,36.644543,304.31348,RMM2018-10-10.0067.fcs
124.64374,1761.8765,4410.014,31.872713,12043.767,RMM2018-10-10.0067.fcs
137.2579,28183.512,44017.11,-8.910598,69150.37,RMM2018-10-10.0067.fcs
139.0712,263.31357,47326.816,32.475548,118.64989,RMM2018-10-10.0067.fcs
142.46126,123.351456,2839.145,-20.969032,41086.477,RMM2018-10-10.0067.fcs
144.90524,699.73126,2064.1328,64.68088,1089.1846,RMM2018-10-10.0067.fcs
152.31607,2905.7605,3422.8765,1.7092813,-50.34696,RMM2018-10-10.0067.fcs
156.73103,4672.1323,7496.1,1.2206064,17684.836,RMM2018-10-10.0067.fcs
157.51941,4604.6685,6776.264,-29.484587,3703.7437,RMM2018-10-10.0067.fcs
166.507,2347.2864,1517.9495,-12.754121,4568.0273,RMM2018-10-10.0067.fcs
176.28299,-336.4826,1751.5798,23.49384,6529.4355,RMM2018-10-10.0067.fcs
194.49469,-2046.4419,3023.3372,5.1854997,646.8356,RMM2018-10-10.0067.fcs
198.59428,14693.295,33089.71,23.660343,997.21796,RMM2018-10-10.0067.fcs
205.1379,-68.40976,4390.62,53.40244,714.8676,RMM2018-10-10.0067.fcs
226.26662,676.48425,2522.3896,27.687319,36202.625,RMM2018-10-10.0067.fcs
239.748,-799.84564,1288.9996,-21.460312,479.6549,RMM2018-10-10.0067.fcs
244.39949,-1581.1456,2506.346,28.995468,7173.433,RMM2018-10-10.0067.fcs
247.00116,-154.585,3743.2224,46.834213,-60.98664,RMM2018-10-10.0067.fcs
255.12152,-723.7719,5678.923,-41.781364,5794.937,RMM2018-10-10.0067.fcs
267.3415,3605.153,5040.6465,-4.5221286,978.9356,RMM2018-10-10.0067.fcs
268.20874,643.139,4678.5864,13.746531,-41.95913,RMM2018-10-10.0067.fcs
275.77722,1019.68256,6711.1904,-31.430828,-130.9173,RMM2018-10-10.0067.fcs
277.98468,5115.933,2729.3755,48.64483,-9.80663,RMM2018-10-10.0067.fcs
306.0512,-77.65444,3046.6643,44.17693,-72.80056,RMM2018-10-10.0067.fcs
307.8645,2914.8694,8487.723,2.8914814,9918.994,RMM2018-10-10.0067.fcs
312.67368,1425.3416,6765.209,39.705696,-82.52539,RMM2018-10-10.0067.fcs
317.2463,-2308.2195,1075.561,30.727448,528.1183,RMM2018-10-10.0067.fcs
324.10526,5297.754,12413.494,24.08014,107792.516,RMM2018-10-10.0067.fcs
324.65714,4494.748,12284.806,0.6431452,100225.82,RMM2018-10-10.0067.fcs
331.83142,-1239.1315,6760.361,28.406584,212.74448,RMM2018-10-10.0067.fcs
335.93103,-1818.8845,4987.669,38.489716,18146.79,RMM2018-10-10.0067.fcs
347.12613,1870.8846,2099.434,3.66242,47509.92,RMM2018-10-10.0067.fcs
351.93527,-246.25142,1422.898,0.7859565,8936.973,RMM2018-10-10.0067.fcs
356.35022,-576.2927,6175.624,7.2935314,24605.629,RMM2018-10-10.0067.fcs
367.22995,1343.0616,11751.375,-7.1623864,714.3197,RMM2018-10-10.0067.fcs
367.7818,2151.1414,11481.898,7.625853,1336.0708,RMM2018-10-10.0067.fcs
369.0432,1405.9956,3829.4143,24.774424,21046.793,RMM2018-10-10.0067.fcs
373.77353,3744.4526,3782.4148,5.5351124,-60.142162,RMM2018-10-10.0067.fcs
400.97284,860.2453,1263.1963,24.971096,437.30066,RMM2018-10-10.0067.fcs
405.07245,-3366.2483,2368.5916,7.3161654,4464.8823,RMM2018-10-10.0067.fcs
407.98947,542.54614,2276.183,6.808163,38118.797,RMM2018-10-10.0067.fcs
422.25925,-1213.8413,4858.337,-16.955658,474.22653,RMM2018-10-10.0067.fcs
433.29663,2075.8503,2476.2673,26.682056,55859.984,RMM2018-10-10.0067.fcs
434.63687,1520.3291,5605.934,18.106869,464.126,RMM2018-10-10.0067.fcs
438.5,1057.2544,1996.0592,66.84067,-46.792355,RMM2018-10-10.0067.fcs
454.74072,359.858,6924.773,9.613746,187.91089,RMM2018-10-10.0067.fcs
455.6868,1591.6741,4818.898,51.40716,389.58524,RMM2018-10-10.0067.fcs
457.42123,-1343.7386,3831.9631,42.10428,1081.3086,RMM2018-10-10.0067.fcs
