HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
1.6829246,1143.6473,4575.3374,-5.6083803,21.521786,RMM2018-10-10.0009.fcs
18.08919,2568.5103,1201.703,19.234718,21.350906,RMM2018-10-10.0009.fcs
28.735714,-1248.5652,3645.4612,-15.553984,-65.137596,RMM2018-10-10.0009.fcs
59.136353,-23.197567,2965.5537,37.88552,234.05972,RMM2018-10-10.0009.fcs
71.89778,145.51884,1660.8359,31.950558,-195.40865,RMM2018-10-10.0009.fcs
81.42835,3214.3726,1133.2328,-11.539928,217.21849,RMM2018-10-10.0009.fcs
85.460175,2422.277,2235.8323,15.890713,11.48332,RMM2018-10-10.0009.fcs
85.56817,519.6389,1944.991,37.74984,22.959908,RMM2018-10-10.0009.fcs
114.65486,-3.9043593,2227.004,49.05921,261.71024,RMM2018-10-10.0009.fcs
117.97572,2512.5713,2398.1038,36.064713,-16.080872,RMM2018-10-10.0009.fcs
131.38512,-459.1491,829.7244,28.46027,-129.74713,RMM2018-10-10.0009.fcs
142.40962,-698.413,1052.0663,-10.233437,211.4473,RMM2018-10-10.0009.fcs
168.68845,-1022.412,2560.9167,2.0553944,-87.01836,RMM2018-10-10.0009.fcs
210.27557,-600.4771,996.2157,-18.640408,-26.459192,RMM2018-10-10.0009.fcs
282.95633,2260.378,4679.8794,21.56535,59.11344,RMM2018-10-10.0009.fcs
291.91992,141.86072,6157.227,-11.721697,-36.404797,RMM2018-10-10.0009.fcs
322.52756,398.2463,1363.4706,-41.550064,-186.82289,RMM2018-10-10.0009.fcs
349.83234,-2063.6836,3015.3071,-14.4098,-19.288315,RMM2018-10-10.0009.fcs
350.17432,-702.0702,2028.5255,0.02559638,-12.766327,RMM2018-10-10.0009.fcs
379.72,-990.4229,3882.0227,-17.968412,-39.102562,RMM2018-10-10.0009.fcs
385.83972,294.31406,2393.0183,11.52797,49.872936,RMM2018-10-10.0009.fcs
410.3546,-944.4412,4208.7935,-30.42162,-111.85508,RMM2018-10-10.0009.fcs
415.88937,1243.4614,8633.778,-9.943022,109.62393,RMM2018-10-10.0009.fcs
415.9344,1962.9965,8603.165,22.556807,32.048363,RMM2018-10-10.0009.fcs
435.6435,1115.1077,5290.957,15.492864,-20.331959,RMM2018-10-10.0009.fcs
437.07443,995.74603,1371.1412,2.108582,-31.644342,RMM2018-10-10.0009.fcs
444.76007,-1344.6488,65415.836,35.59881,-79.7364,RMM2018-10-10.0009.fcs
466.42212,498.44797,2863.4695,11.757757,-124.274475,RMM2018-10-10.0009.fcs
467.42108,425.7936,1328.355,3.839581,192.92278,RMM2018-10-10.0009.fcs
485.3123,2007.6909,3471.49,31.806568,121.3222,RMM2018-10-10.0009.fcs
486.80618,598.78955,1633.024,36.526848,193.88635,RMM2018-10-10.0009.fcs
546.8785,1429.53,2511.7512,-16.481472,-217.06711,RMM2018-10-10.0009.fcs
550.8383,2385.136,1796.6383,30.148094,38.15439,RMM2018-10-10.0009.fcs
556.5351,1724.4751,1408.341,67.15742,-98.181114,RMM2018-10-10.0009.fcs
559.42395,2117.8853,1428.198,-26.745663,-39.088055,RMM2018-10-10.0009.fcs
560.3059,119.672844,2886.7969,4.6042733,50.163486,RMM2018-10-10.0009.fcs
572.8514,3985.3208,9217.964,63.85462,-31.571108,RMM2018-10-10.0009.fcs
575.0293,1769.8151,1353.1531,43.183903,228.19835,RMM2018-10-10.0009.fcs
580.798,698.20386,1523.4459,29.39833,44.911106,RMM2018-10-10.0009.fcs
637.5765,-1390.864,1319.1896,3.5534887,-150.29364,RMM2018-10-10.0009.fcs
691.97,-707.6911,1898.1095,15.646841,-25.31882,RMM2018-10-10.0009.fcs
695.8309,-270.06528,5643.1157,-17.160482,157.24857,RMM2018-10-10.0009.fcs
698.0088,-2994.1943,2118.2988,19.973286,75.00061,RMM2018-10-10.0009.fcs
699.0257,2662.9446,2110.9773,30.05642,-13.847954,RMM2018-10-10.0009.fcs
704.47046,-1311.2795,1250.482,40.20671,117.60039,RMM2018-10-10.0009.fcs
723.7116,-778.4862,1625.2971,12.967386,201.01328,RMM2018-10-10.0009.fcs
735.6631,2995.6772,1870.8942,10.10463,90.0334,RMM2018-10-10.0009.fcs
757.2081,53.704117,1355.9299,5.019043,-41.86595,RMM2018-10-10.0009.fcs
774.49634,1260.9601,1650.5477,4.814754,60.768753,RMM2018-10-10.0009.fcs
784.9449,774.4353,1183.2329,40.703983,-28.95383,RMM2018-10-10.0009.fcs
804.276,3637.6309,2843.5078,-16.016647,57.924004,RMM2018-10-10.0009.fcs
862.5934,-1486.0854,1070.1675,39.026592,13.761727,RMM2018-10-10.0009.fcs
889.09717,3189.2349,2912.0708,-14.235595,75.81942,RMM2018-10-10.0009.fcs
903.2176,990.448,4272.0635,17.115526,-52.183403,RMM2018-10-10.0009.fcs
905.0895,982.56415,1946.038,2.7220366,15.080345,RMM2018-10-10.0009.fcs
915.133,3067.2314,1055.7252,-26.728828,-135.2352,RMM2018-10-10.0009.fcs
920.5148,-889.7199,1436.137,22.792034,-96.21976,RMM2018-10-10.0009.fcs
927.4354,-914.2631,3373.4978,54.65924,26.296225,RMM2018-10-10.0009.fcs
951.4104,-998.8399,2233.9856,-0.69361806,64.22253,RMM2018-10-10.0009.fcs
961.9129,602.1672,664.09326,78.581116,72.86807,RMM2018-10-10.0009.fcs
982.909,-1634.2189,5501.7563,43.041313,-86.23464,RMM2018-10-10.0009.fcs
984.6279,-1127.2751,2258.0786,32.559788,125.978584,RMM2018-10-10.0009.fcs
996.94836,-2246.3296,1226.1307,34.174995,17.952904,RMM2018-10-10.0009.fcs
1032.5778,2079.683,3982.87,18.727068,137.62329,RMM2018-10-10.0009.fcs
1052.6469,5713.5913,10956.182,3.0235627,98.84561,RMM2018-10-10.0009.fcs
1064.2654,-195.60672,1530.8811,16.450699,-94.17639,RMM2018-10-10.0009.fcs
1102.8376,-1572.4126,1292.956,-4.0146484,-20.818094,RMM2018-10-10.0009.fcs
1205.964,-3032.5012,2683.839,68.21237,-14.338809,RMM2018-10-10.0009.fcs
1210.5808,-927.8959,2719.4329,-15.141179,42.91124,RMM2018-10-10.0009.fcs
