HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
62.05015,-970.29926,4061.8433,26.250744,-4.7151394,RMM2018-10-10.0065.fcs
314.52426,582.00006,1871.6816,4.2421904,45.713768,RMM2018-10-10.0065.fcs
364.55353,-37.918537,21369.441,-24.924314,45.43231,RMM2018-10-10.0065.fcs
433.72913,717.05853,7464.2495,36.011456,122.552795,RMM2018-10-10.0065.fcs
461.98224,-21.273035,3202.2554,22.580227,13.5497265,RMM2018-10-10.0065.fcs
562.3606,40.641525,2090.8806,22.193262,40.119236,RMM2018-10-10.0065.fcs
635.73865,-549.0548,5671.9326,23.386978,-2.572176,RMM2018-10-10.0065.fcs
699.7701,70.8001,2287.008,17.13511,12.652544,RMM2018-10-10.0065.fcs
842.6524,-802.25653,2411.5994,39.68888,53.688885,RMM2018-10-10.0065.fcs
845.45105,323.66205,2693.2693,17.324053,45.76331,RMM2018-10-10.0065.fcs
879.55914,-541.60803,2440.4844,20.964005,89.5186,RMM2018-10-10.0065.fcs
890.6738,2435.0256,1862.5999,21.625689,82.13674,RMM2018-10-10.0065.fcs
1038.2827,1477.5922,6304.364,0.1813283,43.22924,RMM2018-10-10.0065.fcs
1153.303,63.879326,1449.7397,20.714981,10.085098,RMM2018-10-10.0065.fcs
1155.622,2395.3108,4149.519,10.320951,-45.834263,RMM2018-10-10.0065.fcs
1234.7305,604.75507,4108.8726,-15.46983,44.180046,RMM2018-10-10.0065.fcs
1262.3351,4412.496,1811.3723,25.916317,-12.534742,RMM2018-10-10.0065.fcs
1268.3943,2271.0312,8986.082,-27.528263,57.548393,RMM2018-10-10.0065.fcs
1300.3079,-179.20573,2843.7441,11.269993,67.81851,RMM2018-10-10.0065.fcs
1596.503,1886.2686,1625.6471,27.946207,65.84514,RMM2018-10-10.0065.fcs
1619.5321,-1860.8619,822.5509,58.379623,47.99887,RMM2018-10-10.0065.fcs
1631.8105,-2278.7764,13993.293,-2.3106282,-25.648037,RMM2018-10-10.0065.fcs
1639.2026,2231.0942,3212.1052,-4.3208237,72.14261,RMM2018-10-10.0065.fcs
1651.5967,49.57501,3367.025,52.541862,48.91496,RMM2018-10-10.0065.fcs
1661.2009,-1789.6948,1456.618,2.3744006,50.882553,RMM2018-10-10.0065.fcs
1787.6112,-993.57513,3256.452,-24.128344,95.79215,RMM2018-10-10.0065.fcs
1969.9414,5818.0317,1602.0098,43.095074,47.7001,RMM2018-10-10.0065.fcs
2098.4749,2629.2612,1191.8026,45.490948,68.75433,RMM2018-10-10.0065.fcs
2170.0671,4816.7305,1920.5598,-9.278882,119.8342,RMM2018-10-10.0065.fcs
2218.7373,19.306831,6997.5454,28.058435,91.33714,RMM2018-10-10.0065.fcs
2237.155,5210.866,1030.5118,29.030586,-6.6387253,RMM2018-10-10.0065.fcs
2260.8235,3001.8716,1465.0854,-27.72587,39.679943,RMM2018-10-10.0065.fcs
2268.793,1251.326,1701.9979,0.16303658,34.406258,RMM2018-10-10.0065.fcs
2280.6096,4005.2136,1178.7678,16.557629,42.373844,RMM2018-10-10.0065.fcs
2375.151,-1602.1359,1203.31,3.2393947,-46.58432,RMM2018-10-10.0065.fcs
2636.936,-2150.7583,1964.7565,4.6042733,100.76327,RMM2018-10-10.0065.fcs
2658.5078,2205.895,2193.964,48.862095,-14.704513,RMM2018-10-10.0065.fcs
2686.5388,-431.27554,54715.312,7.576647,53.910194,RMM2018-10-10.0065.fcs
2700.603,214.6948,1729.5931,3.1614058,59.903637,RMM2018-10-10.0065.fcs
2717.1729,2062.1028,1865.4799,-9.564974,-5.9905467,RMM2018-10-10.0065.fcs
2762.067,1943.1754,8848.084,38.135635,142.4101,RMM2018-10-10.0065.fcs
2832.1843,-1755.2627,2554.6548,7.2023764,7.3232775,RMM2018-10-10.0065.fcs
2860.3486,1573.8418,887.0375,14.351088,-14.954563,RMM2018-10-10.0065.fcs
2952.0288,1280.8208,1872.9708,33.80455,-4.4776235,RMM2018-10-10.0065.fcs
2958.4878,2175.4204,3658.657,12.095717,-7.9620404,RMM2018-10-10.0065.fcs
3041.7634,-402.73593,1883.9182,7.345188,22.976997,RMM2018-10-10.0065.fcs
3178.782,-1439.3002,2335.6626,-3.0138323,24.44109,RMM2018-10-10.0065.fcs
3230.6682,2704.5706,2050.2715,14.389374,52.774387,RMM2018-10-10.0065.fcs
3265.238,3413.325,1162.3535,19.807283,-52.612244,RMM2018-10-10.0065.fcs
3414.6243,-1048.094,1499.9501,27.585522,86.30124,RMM2018-10-10.0065.fcs
3456.9329,-1523.5471,3527.542,28.96094,-6.7312765,RMM2018-10-10.0065.fcs
3583.547,-640.88165,2822.4192,29.656261,38.124588,RMM2018-10-10.0065.fcs
3733.8396,-1241.0574,3985.9106,8.253199,51.45656,RMM2018-10-10.0065.fcs
3779.0176,-3278.6746,2253.6943,-16.617664,-50.309338,RMM2018-10-10.0065.fcs
3785.4058,-327.40808,1803.6089,43.951492,-24.275043,RMM2018-10-10.0065.fcs
4142.7183,2317.605,1623.5673,16.374693,158.99318,RMM2018-10-10.0065.fcs
4210.4014,-452.12546,1029.4646,-10.941156,3.1057432,RMM2018-10-10.0065.fcs
4362.5146,-1587.0529,1839.5746,32.170444,0.059298277,RMM2018-10-10.0065.fcs
4576.2876,3149.4055,25006.7,-8.189882,75.46692,RMM2018-10-10.0065.fcs
4678.5493,15134.613,69100.305,20.48507,65.3718,RMM2018-10-10.0065.fcs
4706.296,137.7106,3885.374,46.789444,-28.138596,RMM2018-10-10.0065.fcs
4743.5405,728.98737,58915.78,6.322863,9.786482,RMM2018-10-10.0065.fcs
4792.7437,214.31921,1871.7465,28.552795,-18.591385,RMM2018-10-10.0065.fcs
4872.1274,-1366.7245,2913.7156,-0.013593435,103.89009,RMM2018-10-10.0065.fcs
4905.498,2413.3608,3948.1116,21.764223,108.21594,RMM2018-10-10.0065.fcs
5021.664,-2415.438,1793.2504,38.93949,59.49703,RMM2018-10-10.0065.fcs
5132.1445,-1584.594,1828.939,3.4816163,-2.0774326,RMM2018-10-10.0065.fcs
5160.682,4214.512,18347.283,26.98292,6.2759185,RMM2018-10-10.0065.fcs
5253.064,-2197.5757,1741.1703,-24.511509,50.407505,RMM2018-10-10.0065.fcs
5404.369,2595.6763,1897.7638,7.3625,66.66015,RMM2018-10-10.0065.fcs
5747.786,1548.5281,129404.68,-4.96795,-12.9098215,RMM2018-10-10.0065.fcs
5749.759,28.965302,1029.4889,10.887529,61.591843,RMM2018-10-10.0065.fcs
5813.532,694.4669,2665.7554,33.421394,40.092957,RMM2018-10-10.0065.fcs
5977.2134,1083.5316,1422.5023,-8.011071,-47.23064,RMM2018-10-10.0065.fcs
5998.501,1415.062,1316.3646,-26.40727,51.437843,RMM2018-10-10.0065.fcs
6050.3877,1453.7748,2308.7366,37.426777,-22.363232,RMM2018-10-10.0065.fcs
6172.9507,-2386.5706,1763.7593,-41.14079,72.15083,RMM2018-10-10.0065.fcs
6548.1655,-1542.1824,1560.8649,20.118402,67.02768,RMM2018-10-10.0065.fcs
6561.715,-88.049545,4437.571,-15.44928,37.449604,RMM2018-10-10.0065.fcs
6823.145,1182.5646,973.613,5.755336,5.7419267,RMM2018-10-10.0065.fcs
6851.015,-1699.716,2887.1604,54.35087,49.579025,RMM2018-10-10.0065.fcs
