HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
70.27556,1439.7498,2292.7249,20.628546,47.758713,RMM2018-10-10.0095.fcs
518.7788,1882.6019,1381.6133,22.045818,26.973106,RMM2018-10-10.0095.fcs
581.60645,639.55634,1617.7218,42.542065,97.90616,RMM2018-10-10.0095.fcs
589.5699,408.77466,1602.1705,43.507717,141.29346,RMM2018-10-10.0095.fcs
778.8259,-3370.2292,2928.6416,6.6506653,49.156982,RMM2018-10-10.0095.fcs
798.8768,733.10895,1305.6469,4.389634,15.756376,RMM2018-10-10.0095.fcs
831.9837,291.4638,1877.8855,9.331481,-6.320308,RMM2018-10-10.0095.fcs
841.09357,-1279.4645,1171.0016,10.57588,70.7486,RMM2018-10-10.0095.fcs
933.2597,-1478.7944,1599.1917,18.137123,118.34416,RMM2018-10-10.0095.fcs
962.8561,1234.4581,18516.947,-7.975839,71.0632,RMM2018-10-10.0095.fcs
1143.4465,1883.4335,2016.0083,20.964005,52.03728,RMM2018-10-10.0095.fcs
1207.2162,4566.776,4908.8945,12.255358,37.159153,RMM2018-10-10.0095.fcs
1349.4827,-1556.5209,38184.1,-9.189002,-18.61494,RMM2018-10-10.0095.fcs
1378.4746,-614.5326,2099.1035,56.322235,56.936752,RMM2018-10-10.0095.fcs
1552.7103,2278.1816,8900.276,29.061613,-17.72327,RMM2018-10-10.0095.fcs
1670.6776,1613.0027,919.2122,-9.847631,53.550377,RMM2018-10-10.0095.fcs
1739.1489,-2589.0151,3091.3596,35.286648,-15.345842,RMM2018-10-10.0095.fcs
1744.0818,18596.021,262143.97,13.701192,4.137511,RMM2018-10-10.0095.fcs
1757.6,-1305.5194,1243.2917,46.87725,-21.199625,RMM2018-10-10.0095.fcs
1793.4622,1955.609,1413.8776,8.268513,-6.3064046,RMM2018-10-10.0095.fcs
1853.5256,-470.3049,4124.6553,39.63896,24.573046,RMM2018-10-10.0095.fcs
1877.887,-2711.6855,1440.7977,7.0597024,-32.207268,RMM2018-10-10.0095.fcs
1989.224,-1030.7179,1073.7959,13.482804,99.31657,RMM2018-10-10.0095.fcs
2053.3938,515.28046,3263.9512,53.478897,110.75914,RMM2018-10-10.0095.fcs
2154.2522,2285.462,2234.3555,16.429897,1.2198008,RMM2018-10-10.0095.fcs
2275.2502,992.93494,3239.5852,0.2345159,43.318302,RMM2018-10-10.0095.fcs
2341.517,1384.9285,13819.047,3.739686,-59.12167,RMM2018-10-10.0095.fcs
2395.3237,1991.1416,6427.9434,8.0096245,96.865326,RMM2018-10-10.0095.fcs
2547.3223,-598.38354,2437.802,-9.278882,39.24936,RMM2018-10-10.0095.fcs
2551.9172,2121.072,3490.2307,18.688105,-13.61056,RMM2018-10-10.0095.fcs
2552.886,234.2837,6348.1743,10.289925,32.716663,RMM2018-10-10.0095.fcs
2553.295,3484.4436,1436.0374,-18.35554,32.183678,RMM2018-10-10.0095.fcs
2579.1582,17444.193,40754.727,-5.4591618,2182.086,RMM2018-10-10.0095.fcs
2672.16,596.2873,1627.6067,22.179829,115.462425,RMM2018-10-10.0095.fcs
2778.3953,-205.01962,1825.5,-2.3828037,0.2673344,RMM2018-10-10.0095.fcs
2791.1494,1183.2053,1709.8834,-4.766057,-36.043556,RMM2018-10-10.0095.fcs
2797.975,-247.25742,3316.5298,31.995499,41.51747,RMM2018-10-10.0095.fcs
2800.4192,1264.7543,937.1104,11.324779,22.051071,RMM2018-10-10.0095.fcs
2851.7551,1259.4867,871.27094,50.013058,65.52583,RMM2018-10-10.0095.fcs
3013.8145,231.14015,37220.676,14.797886,37.112972,RMM2018-10-10.0095.fcs
3044.3438,1952.5458,6369.6313,-4.9678864,29.96613,RMM2018-10-10.0095.fcs
3117.2058,1383.7981,2731.754,-19.03455,49.489765,RMM2018-10-10.0095.fcs
3226.0098,-2660.6106,1206.5658,-4.389573,74.063576,RMM2018-10-10.0095.fcs
3249.749,-253.10233,2398.6465,-3.6767714,3.9556742,RMM2018-10-10.0095.fcs
3339.8354,-94.073654,4725.0005,11.158685,62.315437,RMM2018-10-10.0095.fcs
3467.1262,-96.32613,3209.82,29.83398,63.269417,RMM2018-10-10.0095.fcs
3580.5518,1682.8939,1316.1705,30.719358,63.79648,RMM2018-10-10.0095.fcs
3854.881,1562.3274,1912.5276,9.704208,21.852297,RMM2018-10-10.0095.fcs
3869.653,-2400.965,795.9736,2.003655,81.383484,RMM2018-10-10.0095.fcs
4095.4465,1963.5303,3883.7622,38.829918,36.638485,RMM2018-10-10.0095.fcs
4187.2124,-3109.944,1083.7596,10.220278,39.183342,RMM2018-10-10.0095.fcs
4273.842,-1867.4579,3345.2837,42.774723,8.139529,RMM2018-10-10.0095.fcs
4358.471,2315.9202,6166.3867,-47.968784,42.086227,RMM2018-10-10.0095.fcs
4421.2983,-642.80066,1496.5717,-5.3732667,51.827267,RMM2018-10-10.0095.fcs
4573.342,-1548.3622,1946.038,-2.9001617,-2.7232833,RMM2018-10-10.0095.fcs
4660.4683,-640.60846,8711.285,-21.106628,56.856575,RMM2018-10-10.0095.fcs
4853.1377,-1163.3335,96625.58,5.925439,1.231677,RMM2018-10-10.0095.fcs
4953.569,170.82117,1812.4006,37.792645,35.666553,RMM2018-10-10.0095.fcs
5047.077,-1510.46,2784.024,12.424845,40.796696,RMM2018-10-10.0095.fcs
5118.4375,943.2472,2123.0537,5.492541,3.527623,RMM2018-10-10.0095.fcs
5178.7407,-1742.9148,3164.7957,29.922848,-46.879257,RMM2018-10-10.0095.fcs
5384.519,282.9596,2475.4702,23.189459,29.464176,RMM2018-10-10.0095.fcs
5548.765,-1658.8098,3639.928,21.056532,47.000927,RMM2018-10-10.0095.fcs
5623.2354,1973.7983,4735.3076,7.482671,29.864483,RMM2018-10-10.0095.fcs
5636.7627,2213.773,4317.3027,16.142025,6.079335,RMM2018-10-10.0095.fcs
5694.604,2504.9226,1516.8257,40.813557,60.434063,RMM2018-10-10.0095.fcs
5942.4575,-1938.7925,14979.261,-24.629375,38.21499,RMM2018-10-10.0095.fcs
6341.429,380.1732,1400.1039,-10.498403,10.961084,RMM2018-10-10.0095.fcs
6393.5913,51.30365,1238.9205,3.5994818,35.414974,RMM2018-10-10.0095.fcs
6400.364,415.2003,9941.256,-0.13376427,42.297295,RMM2018-10-10.0095.fcs
6472.835,-1773.254,1122.9797,10.024579,10.516005,RMM2018-10-10.0095.fcs
6601.094,2076.3826,982.63727,25.880058,88.7658,RMM2018-10-10.0095.fcs
6679.5996,-1944.2181,4444.244,22.176996,122.551865,RMM2018-10-10.0095.fcs
6755.27,2011.1943,4526.893,-21.129534,46.472664,RMM2018-10-10.0095.fcs
6773.8096,1735.5273,1905.7584,-5.7925434,65.49334,RMM2018-10-10.0095.fcs
6835.296,748.18884,26361.438,18.686115,75.0882,RMM2018-10-10.0095.fcs
6882.8984,381.4252,2127.3281,-50.51112,19.676983,RMM2018-10-10.0095.fcs
6939.5938,-858.14825,10376.472,10.748072,62.34251,RMM2018-10-10.0095.fcs
6945.957,-217.3601,1658.3306,-7.953016,53.379166,RMM2018-10-10.0095.fcs
7121.695,242.72046,1552.6995,26.370064,-18.620934,RMM2018-10-10.0095.fcs
7225.326,367.37903,2298.7036,30.92504,40.208694,RMM2018-10-10.0095.fcs
7367.2197,1524.5712,1711.0035,50.18054,62.565453,RMM2018-10-10.0095.fcs
7384.631,2038.497,970.707,26.761772,32.695267,RMM2018-10-10.0095.fcs
7477.374,-117.29962,1346.03,16.73072,120.20854,RMM2018-10-10.0095.fcs
7489.6924,-1468.6394,1082.4529,63.638157,41.3333,RMM2018-10-10.0095.fcs
7496.3945,18.08292,1053.1785,45.66276,35.862457,RMM2018-10-10.0095.fcs
7769.6577,1262.6096,1909.5739,13.340996,37.657555,RMM2018-10-10.0095.fcs
8015.475,-1995.1847,9836.669,3.0418463,-62.03669,RMM2018-10-10.0095.fcs
8352.028,-1701.283,1692.5869,81.567856,22.479765,RMM2018-10-10.0095.fcs
8395.765,-91.92631,1782.9114,38.82667,12.003054,RMM2018-10-10.0095.fcs
8396.5205,1570.1968,1973.489,36.936054,76.836586,RMM2018-10-10.0095.fcs
8511.999,3196.0637,1437.5792,16.226337,30.399605,RMM2018-10-10.0095.fcs
8697.389,798.4631,1509.2443,-28.490515,32.69158,RMM2018-10-10.0095.fcs
8834.154,-1500.3369,1982.0208,40.967197,19.95083,RMM2018-10-10.0095.fcs
8943.98,-571.96844,2868.923,6.300704,-42.101757,RMM2018-10-10.0095.fcs
8976.492,738.86615,3821.4058,18.372732,50.249016,RMM2018-10-10.0095.fcs
8998.862,1645.3417,3044.6572,6.244256,77.54132,RMM2018-10-10.0095.fcs
9007.377,-749.51013,1348.7228,2.9364336,25.67357,RMM2018-10-10.0095.fcs
9219.456,-226.84924,23189.938,13.561394,57.751026,RMM2018-10-10.0095.fcs
9448.645,2616.3306,3123.4485,11.957865,96.56291,RMM2018-10-10.0095.fcs
9450.653,1967.6215,12113.604,2.0293515,68.60971,RMM2018-10-10.0095.fcs
9508.815,-173.0908,4049.9214,-4.147872,68.04208,RMM2018-10-10.0095.fcs
9630.631,2130.695,1587.5061,-8.450251,13.117558,RMM2018-10-10.0095.fcs
9755.877,-1441.1316,2815.5532,6.2191978,15.11709,RMM2018-10-10.0095.fcs
10031.096,2794.502,7314.6074,-17.47018,-1.7112606,RMM2018-10-10.0095.fcs
10195.12,193.73656,2184.6038,-45.489693,13.303923,RMM2018-10-10.0095.fcs
10359.446,2325.1877,2015.7407,51.49514,48.98442,RMM2018-10-10.0095.fcs
10414.345,2967.0215,2398.5293,-22.377876,39.56858,RMM2018-10-10.0095.fcs
10449.142,-665.3506,2164.0203,16.557575,-59.983337,RMM2018-10-10.0095.fcs
10618.053,-721.0546,2411.1665,13.457575,20.303871,RMM2018-10-10.0095.fcs
10649.782,3588.1868,2419.6155,-31.029846,87.62725,RMM2018-10-10.0095.fcs
10709.072,-2215.4353,1798.5056,-19.416264,69.90343,RMM2018-10-10.0095.fcs
10983.411,120.29541,2901.8892,79.05647,115.1447,RMM2018-10-10.0095.fcs
10996.947,-193.82698,1840.9856,20.42485,11.49435,RMM2018-10-10.0095.fcs
11189.207,1565.9563,7398.153,-6.035273,-19.663004,RMM2018-10-10.0095.fcs
11222.571,-752.37415,2487.0913,48.14517,1.4824647,RMM2018-10-10.0095.fcs
11225.407,-2434.795,36678.934,12.043528,-4.793815,RMM2018-10-10.0095.fcs
11481.473,1244.8375,8792.043,-1.4916501,48.28364,RMM2018-10-10.0095.fcs
11488.583,-973.2202,3502.9043,-7.4272203,70.532265,RMM2018-10-10.0095.fcs
11533.075,1492.2711,5689.392,-18.88659,35.559246,RMM2018-10-10.0095.fcs
11819.999,402.74792,4681.7026,-1.7740471,57.70633,RMM2018-10-10.0095.fcs
11850.857,-2009.442,3211.7434,-21.016768,30.65591,RMM2018-10-10.0095.fcs
11885.448,1995.8651,8426.096,-2.5819328,9.140039,RMM2018-10-10.0095.fcs
11983.925,1411.0128,1302.456,22.725445,46.137634,RMM2018-10-10.0095.fcs
11987.0,3310.3865,1130.3135,1.4562583,118.32613,RMM2018-10-10.0095.fcs
12036.718,-611.2545,2711.8286,-1.9054437,-14.706535,RMM2018-10-10.0095.fcs
12098.399,-65.50671,3047.2974,-30.185658,30.236286,RMM2018-10-10.0095.fcs
12148.196,656.10077,1433.7113,10.323952,95.04214,RMM2018-10-10.0095.fcs
12222.641,1277.918,2890.4653,0.25251198,1.1342094,RMM2018-10-10.0095.fcs
12275.825,-278.83322,1108.484,2.8405485,21.120403,RMM2018-10-10.0095.fcs
12376.969,1490.7256,1577.2261,30.29124,100.55339,RMM2018-10-10.0095.fcs
12435.28,-420.5137,1259.6481,6.846674,73.341805,RMM2018-10-10.0095.fcs
12463.419,-1182.7954,1718.5831,-23.129704,-2.913253,RMM2018-10-10.0095.fcs
12549.444,460.8514,5530.269,31.207111,11.179634,RMM2018-10-10.0095.fcs
12562.287,-1470.4412,1027.694,23.027676,14.808346,RMM2018-10-10.0095.fcs
12735.749,954.8368,13410.32,-25.941584,116.93442,RMM2018-10-10.0095.fcs
12796.275,1141.9923,1794.9298,14.747844,54.252636,RMM2018-10-10.0095.fcs
12873.724,-408.38895,2049.2898,8.821083,64.979385,RMM2018-10-10.0095.fcs
12924.393,-828.58734,4187.1055,20.320938,14.616179,RMM2018-10-10.0095.fcs
12934.249,22440.914,31046.451,20.585278,-16.01028,RMM2018-10-10.0095.fcs
